cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
824527fffffffff,19.0,0.0,0.0
824537fffffffff,38.0,0.0,0.0
825f07fffffffff,9.0,0.0,0.0
825f0ffffffffff,6.0,0.0,0.0
825f17fffffffff,5.0,0.0,0.0
825f2ffffffffff,177.0,0.0,0.0
825f47fffffffff,16.0,0.0,0.0
825f4ffffffffff,23.0,0.0,0.0
825f57fffffffff,12.0,0.0,0.0
825f6ffffffffff,7.0,0.0,0.0
825f77fffffffff,3.0,0.0,0.0
82660ffffffffff,73.0,0.0,0.0
826617fffffffff,27.0,0.0,0.0
82661ffffffffff,46.0,0.0,0.0
82662ffffffffff,27.0,0.0,0.0
826647fffffffff,192.0,0.0,0.0
826657fffffffff,444.0,0.0,0.0
82665ffffffffff,85.0,0.0,0.0
826667fffffffff,40.0,0.0,0.0
82666ffffffffff,36.0,0.0,0.0
826677fffffffff,506.0,0.0,0.0
8266a7fffffffff,376.0,0.0,0.0
8266b7fffffffff,1721.0,0.0,0.0
8266c7fffffffff,202.0,0.0,0.0
8266cffffffffff,33.0,0.0,0.0
8266d7fffffffff,589.0,0.0,1.0
8266dffffffffff,382.0,0.0,1.0
8266e7fffffffff,1045.0,0.0,0.0
8266effffffffff,315.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82674ffffffffff,110.0,0.0,0.0
82675ffffffffff,146.0,0.0,0.0
826797fffffffff,16.0,0.0,0.0
82679ffffffffff,179.0,0.0,0.0
826d6ffffffffff,1493.0,0.0,0.0
828047fffffffff,4.0,0.0,0.0
828057fffffffff,4.0,0.0,0.0
828067fffffffff,3.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828147fffffffff,24.0,0.0,0.0
82814ffffffffff,40.0,0.0,0.0
82815ffffffffff,37.0,0.0,0.0
828167fffffffff,72.0,0.0,0.0
828177fffffffff,5.0,0.0,0.0
828a07fffffffff,10.0,0.0,0.0
828a17fffffffff,36.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a37fffffffff,9.0,0.0,0.0
828a47fffffffff,50.0,0.0,0.0
828a4ffffffffff,3.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0
828a6ffffffffff,195.0,0.0,0.0
828a87fffffffff,9.0,0.0,0.0
828a8ffffffffff,7.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0
828a9ffffffffff,3.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0
828aaffffffffff,13.0,0.0,0.0
828ab7fffffffff,2.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,36.0,0.0,0.0
828af7fffffffff,62.0,0.0,0.0
828b07fffffffff,10.0,0.0,0.0
828b0ffffffffff,87.0,0.0,0.0
828b17fffffffff,7.0,0.0,0.0
828b1ffffffffff,4.0,0.0,0.0
828b27fffffffff,44.0,0.0,0.0
828b2ffffffffff,46.0,0.0,0.0
828b37fffffffff,24.0,0.0,0.0
828b47fffffffff,444.0,0.0,7.0
828b4ffffffffff,5.0,0.0,0.0
828b57fffffffff,7.0,0.0,0.0
828b67fffffffff,388.0,0.0,0.0
828b6ffffffffff,117.0,0.0,0.0
828b77fffffffff,65.0,0.0,0.0
828b8ffffffffff,15.0,0.0,0.0
828b9ffffffffff,645.0,0.0,0.0
828ba7fffffffff,1.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828e67fffffffff,18.0,0.0,0.0
828f2ffffffffff,5.0,0.0,0.0
828f47fffffffff,20.0,0.0,0.0
828f4ffffffffff,65.0,0.0,0.0
828f5ffffffffff,34.0,0.0,0.0
828f67fffffffff,35.0,0.0,0.0
828f6ffffffffff,30.0,0.0,0.0
828f77fffffffff,5.0,0.0,0.0
82a847fffffffff,12.0,0.0,0.0
82a85ffffffffff,2045.0,0.0,0.0
82a8cffffffffff,6.0,0.0,0.0
82a8d7fffffffff,3.0,0.0,0.0
82a8dffffffffff,11.0,0.0,0.0
82a8e7fffffffff,5.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0
