cell_id,Limosa lapponica,Limosa lapponica [lapponica Group],Limosa lapponica [baueri Group]
82075ffffffffff,17.0,0.0,0.0
820767fffffffff,4.0,0.0,0.0
820777fffffffff,5.0,0.0,0.0
820807fffffffff,1.0,0.0,0.0
82089ffffffffff,19.0,0.0,0.0
8208e7fffffffff,2.0,2.0,0.0
8209a7fffffffff,2.0,0.0,0.0
820c17fffffffff,80.0,0.0,61.0
820c37fffffffff,4.0,0.0,0.0
820c47fffffffff,20.0,0.0,0.0
820c57fffffffff,112.0,0.0,0.0
820c5ffffffffff,16.0,0.0,0.0
820c6ffffffffff,4.0,0.0,0.0
820c77fffffffff,23.0,0.0,0.0
820ca7fffffffff,3.0,0.0,0.0
820caffffffffff,1.0,0.0,0.0
820cdffffffffff,3.0,0.0,0.0
820ceffffffffff,19.0,0.0,0.0
820cf7fffffffff,1.0,0.0,0.0
820d07fffffffff,7.0,0.0,3.0
820d0ffffffffff,19.0,0.0,16.0
821127fffffffff,2.0,0.0,0.0
8211affffffffff,9.0,1.0,0.0
821287fffffffff,8.0,0.0,0.0
8212b7fffffffff,7.0,0.0,0.0
821387fffffffff,14.0,0.0,0.0
821397fffffffff,4.0,0.0,0.0
82139ffffffffff,10.0,0.0,0.0
821657fffffffff,3.0,0.0,3.0
82165ffffffffff,4.0,0.0,0.0
821807fffffffff,6.0,0.0,0.0
821827fffffffff,2.0,0.0,0.0
82182ffffffffff,13.0,0.0,0.0
821847fffffffff,5.0,0.0,0.0
82184ffffffffff,59.0,4.0,0.0
821857fffffffff,3.0,0.0,0.0
82185ffffffffff,64.0,2.0,0.0
82186ffffffffff,5.0,0.0,0.0
821877fffffffff,3.0,2.0,0.0
82190ffffffffff,4.0,0.0,0.0
821947fffffffff,8.0,2.0,0.0
82194ffffffffff,17.0,6.0,0.0
821957fffffffff,3.0,1.0,0.0
82195ffffffffff,2.0,0.0,0.0
82196ffffffffff,8.0,0.0,0.0
821977fffffffff,6.0,0.0,0.0
821d27fffffffff,2.0,0.0,0.0
821e07fffffffff,29.0,0.0,0.0
821e0ffffffffff,3.0,0.0,0.0
821e27fffffffff,4.0,0.0,0.0
821e37fffffffff,6.0,0.0,0.0
821e4ffffffffff,3.0,0.0,0.0
821e57fffffffff,1.0,0.0,0.0
821e5ffffffffff,2.0,0.0,0.0
821e67fffffffff,2.0,0.0,0.0
821e97fffffffff,5.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0
821ec7fffffffff,8.0,0.0,0.0
821ecffffffffff,40.0,5.0,0.0
821ed7fffffffff,13.0,0.0,0.0
821edffffffffff,22.0,1.0,0.0
821eeffffffffff,16.0,2.0,0.0
821f07fffffffff,2.0,0.0,0.0
821f0ffffffffff,4.0,0.0,0.0
821f17fffffffff,1.0,0.0,0.0
821f1ffffffffff,12.0,0.0,0.0
821f2ffffffffff,7.0,7.0,0.0
821f37fffffffff,8.0,0.0,0.0
821f4ffffffffff,7.0,0.0,0.0
821f57fffffffff,1.0,0.0,0.0
821f5ffffffffff,6.0,0.0,0.0
821f67fffffffff,2.0,0.0,0.0
821f77fffffffff,6.0,0.0,0.0
821f87fffffffff,10.0,0.0,0.0
821f8ffffffffff,8.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
821fa7fffffffff,4.0,0.0,0.0
821faffffffffff,19.0,0.0,0.0
821fb7fffffffff,6.0,0.0,0.0
822157fffffffff,1.0,0.0,0.0
8222d7fffffffff,2.0,0.0,0.0
8222dffffffffff,56.0,0.0,22.0
8222effffffffff,8.0,0.0,8.0
822677fffffffff,2.0,0.0,2.0
822807fffffffff,20.0,0.0,4.0
82281ffffffffff,26.0,0.0,7.0
822837fffffffff,304.0,0.0,32.0
8228b7fffffffff,1.0,0.0,0.0
8228c7fffffffff,653.0,0.0,48.0
8228d7fffffffff,89.0,0.0,2.0
8228dffffffffff,102.0,0.0,1.0
8228f7fffffffff,131.0,0.0,11.0
82291ffffffffff,5.0,0.0,1.0
8229a7fffffffff,30.0,0.0,6.0
822a17fffffffff,165.0,12.0,26.0
822a37fffffffff,24.0,13.0,0.0
822aaffffffffff,203.0,48.0,0.0
822ad7fffffffff,69.0,40.0,0.0
822b0ffffffffff,3.0,0.0,0.0
822b17fffffffff,7.0,0.0,0.0
822b1ffffffffff,4.0,4.0,0.0
822b27fffffffff,2.0,0.0,2.0
822c07fffffffff,11.0,0.0,0.0
822c0ffffffffff,2.0,0.0,0.0
822c27fffffffff,12.0,0.0,0.0
822c2ffffffffff,3.0,0.0,0.0
822c57fffffffff,4.0,0.0,0.0
822c97fffffffff,15.0,1.0,0.0
822caffffffffff,1.0,0.0,0.0
822ce7fffffffff,2.0,0.0,0.0
822d07fffffffff,4.0,0.0,0.0
822d17fffffffff,1.0,0.0,0.0
822d37fffffffff,6.0,0.0,0.0
822da7fffffffff,22.0,0.0,0.0
822db7fffffffff,31.0,2.0,0.0
822e67fffffffff,4.0,0.0,0.0
82302ffffffffff,4.0,0.0,0.0
823037fffffffff,4.0,0.0,1.0
823087fffffffff,8.0,0.0,1.0
82309ffffffffff,25.0,0.0,2.0
8230dffffffffff,3.0,0.0,0.0
8230e7fffffffff,2.0,0.0,0.0
82318ffffffffff,3.0,0.0,0.0
823427fffffffff,27.0,0.0,0.0
823437fffffffff,4.0,0.0,0.0
82346ffffffffff,5.0,0.0,0.0
82351ffffffffff,335.0,0.0,0.0
8235affffffffff,14.0,0.0,0.0
823907fffffffff,8.0,0.0,0.0
82390ffffffffff,2.0,0.0,0.0
823917fffffffff,59.0,4.0,0.0
82391ffffffffff,2.0,0.0,0.0
823927fffffffff,93.0,0.0,0.0
82392ffffffffff,66.0,0.0,0.0
823937fffffffff,69.0,0.0,0.0
823947fffffffff,37.0,5.0,0.0
823957fffffffff,12.0,0.0,0.0
82395ffffffffff,6.0,0.0,0.0
823977fffffffff,97.0,20.0,0.0
823c8ffffffffff,38.0,0.0,0.0
823c97fffffffff,24.0,2.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823cd7fffffffff,1.0,0.0,0.0
823da7fffffffff,26.0,0.0,4.0
823e47fffffffff,2.0,0.0,0.0
823e6ffffffffff,41.0,0.0,0.0
823f2ffffffffff,22.0,2.0,0.0
823f37fffffffff,4.0,0.0,0.0
823f67fffffffff,14.0,0.0,0.0
823f6ffffffffff,11.0,0.0,0.0
824107fffffffff,2.0,0.0,2.0
82410ffffffffff,2.0,0.0,2.0
82411ffffffffff,8.0,0.0,6.0
82419ffffffffff,3.0,0.0,0.0
8241a7fffffffff,3.0,0.0,0.0
8241b7fffffffff,2.0,0.0,2.0
8242c7fffffffff,74.0,1.0,0.0
8242cffffffffff,6.0,0.0,0.0
8242dffffffffff,4.0,0.0,0.0
8242e7fffffffff,1.0,0.0,0.0
82431ffffffffff,4.0,2.0,0.0
8243affffffffff,1.0,0.0,0.0
824417fffffffff,32.0,0.0,3.0
82441ffffffffff,144.0,9.0,0.0
8244d7fffffffff,146.0,22.0,0.0
82464ffffffffff,10.0,0.0,0.0
8247a7fffffffff,11.0,0.0,0.0
824897fffffffff,117.0,28.0,3.0
824ba7fffffffff,4.0,0.0,0.0
824bb7fffffffff,130.0,0.0,12.0
82521ffffffffff,1.0,0.0,0.0
8252dffffffffff,1.0,0.0,0.0
8254c7fffffffff,24.0,0.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,2.0,0.0,0.0
825517fffffffff,6.0,0.0,0.0
825d17fffffffff,4.0,0.0,0.0
825e77fffffffff,2.0,0.0,0.0
826007fffffffff,10.0,0.0,0.0
82601ffffffffff,2.0,0.0,0.0
826027fffffffff,4.0,0.0,0.0
8260affffffffff,69.0,0.0,0.0
8260b7fffffffff,7.0,0.0,0.0
82611ffffffffff,40.0,0.0,0.0
82618ffffffffff,71.0,0.0,0.0
82619ffffffffff,13.0,0.0,0.0
8261affffffffff,20.0,0.0,0.0
826417fffffffff,1.0,0.0,0.0
826437fffffffff,8.0,0.0,6.0
8264e7fffffffff,4.0,0.0,0.0
826507fffffffff,39.0,0.0,0.0
82650ffffffffff,1.0,0.0,1.0
82651ffffffffff,78.0,0.0,0.0
826527fffffffff,145.0,0.0,0.0
826587fffffffff,1.0,0.0,0.0
82658ffffffffff,8.0,0.0,2.0
82659ffffffffff,2.0,0.0,0.0
82682ffffffffff,2.0,0.0,0.0
826947fffffffff,4.0,0.0,0.0
826adffffffffff,1.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0
82731ffffffffff,2.0,0.0,0.0
827a1ffffffffff,2.0,2.0,0.0
827a67fffffffff,4.0,0.0,0.0
827b4ffffffffff,8.0,0.0,0.0
827b5ffffffffff,4.0,0.0,0.0
82800ffffffffff,12.0,8.0,0.0
828057fffffffff,18.0,18.0,0.0
82845ffffffffff,2.0,0.0,0.0
828c97fffffffff,7.0,0.0,0.0
828e47fffffffff,16.0,0.0,0.0
829457fffffffff,2.0,0.0,2.0
82962ffffffffff,2.0,0.0,0.0
829737fffffffff,3.0,2.0,0.0
829c27fffffffff,1.0,0.0,0.0
829d27fffffffff,2.0,0.0,0.0
829e27fffffffff,3.0,0.0,0.0
829f47fffffffff,1.0,0.0,1.0
829f57fffffffff,1.0,0.0,1.0
82a39ffffffffff,2.0,2.0,0.0
82a617fffffffff,2.0,0.0,0.0
82ac17fffffffff,5.0,0.0,0.0
82ad37fffffffff,5.0,0.0,0.0
82b91ffffffffff,2.0,0.0,0.0
82bb0ffffffffff,3.0,0.0,0.0
82bb2ffffffffff,10.0,0.0,0.0
82bb37fffffffff,2.0,0.0,0.0
82bb57fffffffff,51.0,0.0,0.0
82bcc7fffffffff,4.0,4.0,0.0
82be0ffffffffff,17.0,0.0,0.0
82be1ffffffffff,6.0,0.0,0.0
82be57fffffffff,2.0,0.0,0.0
82be67fffffffff,44.0,0.0,19.0
82be77fffffffff,1.0,0.0,1.0
82be8ffffffffff,13.0,0.0,0.0
82beaffffffffff,6.0,0.0,4.0
82bf4ffffffffff,5.0,0.0,2.0
82bf8ffffffffff,2.0,0.0,0.0
82c997fffffffff,2.0,0.0,0.0
82ceaffffffffff,6.0,0.0,2.0
82d44ffffffffff,2.0,0.0,0.0
82da07fffffffff,6.0,0.0,0.0
82da1ffffffffff,3.0,0.0,0.0
82da87fffffffff,28.0,0.0,1.0
82da97fffffffff,17.0,0.0,0.0
82daaffffffffff,8.0,0.0,0.0
82dab7fffffffff,10.0,0.0,0.0
