cell_id,Scleroptila gutturalis,Scleroptila gutturalis gutturalis/lorti,Scleroptila gutturalis jugularis,Scleroptila gutturalis levalliantoides
8352d3fffffffff,1.0,0.0,0.0,0.0
837ac8fffffffff,1.0,0.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0,0.0
837ae9fffffffff,1.0,0.0,0.0,0.0
838304fffffffff,2.0,0.0,0.0,0.0
838331fffffffff,2.0,0.0,0.0,0.0
838336fffffffff,1.0,0.0,0.0,0.0
839741fffffffff,1.0,0.0,0.0,0.0
839744fffffffff,1.0,0.0,0.0,0.0
839745fffffffff,3.0,0.0,0.0,0.0
839746fffffffff,3.0,0.0,0.0,0.0
83974efffffffff,1.0,0.0,0.0,0.0
839751fffffffff,2.0,0.0,0.0,0.0
83975dfffffffff,1.0,0.0,0.0,0.0
83976efffffffff,1.0,0.0,0.0,0.0
839773fffffffff,1.0,0.0,0.0,0.0
839775fffffffff,1.0,0.0,0.0,0.0
83ac80fffffffff,3.0,0.0,0.0,0.0
83ac81fffffffff,5.0,0.0,0.0,0.0
83ac85fffffffff,1.0,0.0,0.0,0.0
83aca4fffffffff,14.0,0.0,0.0,0.0
83aca6fffffffff,49.0,0.0,0.0,0.0
83acaefffffffff,1.0,0.0,0.0,0.0
83acb1fffffffff,2.0,0.0,0.0,0.0
83adb4fffffffff,1.0,0.0,0.0,1.0
83adb6fffffffff,1.0,0.0,0.0,0.0
83bcc0fffffffff,11.0,0.0,0.0,2.0
83bcc1fffffffff,6.0,0.0,0.0,2.0
83bcc2fffffffff,113.0,0.0,0.0,36.0
83bcc3fffffffff,88.0,0.0,0.0,18.0
83bcc5fffffffff,1.0,0.0,0.0,0.0
83bccafffffffff,3.0,0.0,0.0,2.0
83bcccfffffffff,2.0,0.0,0.0,0.0
83bccdfffffffff,4.0,0.0,0.0,0.0
83bccefffffffff,4.0,0.0,0.0,1.0
83bcd1fffffffff,3.0,0.0,0.0,0.0
83bcd5fffffffff,2.0,0.0,0.0,0.0
83bcd9fffffffff,2.0,0.0,0.0,0.0
83bcdcfffffffff,16.0,0.0,0.0,10.0
83bce1fffffffff,3.0,0.0,0.0,0.0
83bce8fffffffff,9.0,0.0,0.0,0.0
83bce9fffffffff,12.0,0.0,0.0,2.0
83bcebfffffffff,1.0,0.0,0.0,0.0
83bcecfffffffff,5.0,0.0,0.0,2.0
83bceefffffffff,2.0,0.0,0.0,0.0
