cell_id,Leptasthenura striata,Leptasthenura striata striata/superciliaris,Leptasthenura striata albigularis
848b64bffffffff,2.0,0.0,0.0
848e459ffffffff,3.0,0.0,0.0
848e45bffffffff,4.0,0.0,0.0
848e605ffffffff,2.0,0.0,0.0
848e607ffffffff,9.0,0.0,0.0
848e61dffffffff,3.0,0.0,0.0
848e629ffffffff,41.0,0.0,0.0
848e645ffffffff,3.0,0.0,0.0
848e663ffffffff,93.0,0.0,0.0
848e665ffffffff,13.0,0.0,0.0
848e687ffffffff,2.0,0.0,0.0
848e69bffffffff,1.0,0.0,0.0
848e6a1ffffffff,6.0,0.0,0.0
848e6abffffffff,2.0,0.0,0.0
848e6c5ffffffff,2.0,0.0,0.0
848e6cdffffffff,6.0,0.0,0.0
848e759ffffffff,3.0,0.0,0.0
848f581ffffffff,3.0,0.0,0.0
848f583ffffffff,1.0,0.0,0.0
848f587ffffffff,2.0,0.0,0.0
848f589ffffffff,3.0,0.0,0.0
848f58dffffffff,3.0,0.0,0.0
848f595ffffffff,2.0,0.0,0.0
848f5b9ffffffff,3.0,0.0,0.0
848f5bbffffffff,1.0,0.0,0.0
848f5ebffffffff,1.0,0.0,0.0
84b300bffffffff,1.0,0.0,0.0
84b3011ffffffff,37.0,0.0,0.0
84b3015ffffffff,4.0,0.0,0.0
84b3017ffffffff,4.0,0.0,0.0
84b301bffffffff,2.0,0.0,0.0
84b3043ffffffff,14.0,0.0,0.0
84b304bffffffff,3.0,0.0,0.0
84b3051ffffffff,8.0,0.0,0.0
84b3055ffffffff,24.0,0.0,0.0
84b3057ffffffff,1.0,0.0,0.0
84b3059ffffffff,25.0,0.0,0.0
84b305dffffffff,705.0,0.0,0.0
84b308dffffffff,14.0,0.0,0.0
84b30c5ffffffff,2.0,0.0,0.0
84b30e9ffffffff,3.0,0.0,0.0
84b30ebffffffff,7.0,0.0,0.0
84b3221ffffffff,1.0,0.0,0.0
84b3225ffffffff,2.0,0.0,0.0
84b3227ffffffff,2.0,0.0,0.0
84b3237ffffffff,8.0,0.0,0.0
84b3309ffffffff,18.0,0.0,0.0
84b330bffffffff,5.0,0.0,0.0
84b3319ffffffff,2.0,0.0,0.0
84b331bffffffff,1.0,0.0,0.0
84b3341ffffffff,20.0,0.0,0.0
84b3343ffffffff,3.0,0.0,0.0
84b3347ffffffff,5.0,0.0,0.0
84b334bffffffff,11.0,0.0,0.0
84b3351ffffffff,1.0,0.0,0.0
84b3355ffffffff,93.0,0.0,0.0
84b3357ffffffff,2.0,0.0,0.0
84b335dffffffff,4.0,0.0,0.0
