cell_id,Cinclodes pabsti,Cinclodes pabsti espinhacensis,Cinclodes pabsti pabsti
84a9191ffffffff,186.0,0.0,86.0
84a9195ffffffff,14.0,0.0,6.0
84a9199ffffffff,1.0,0.0,0.0
84a919bffffffff,6.0,0.0,1.0
84a919dffffffff,5.0,0.0,1.0
84a91d1ffffffff,15.0,0.0,5.0
