cell_id,Vireo chivi,Vireo chivi [agilis Group],Vireo chivi chivi/diversus
825f07fffffffff,114.0,33.0,0.0
825f0ffffffffff,42.0,0.0,0.0
825f17fffffffff,55.0,0.0,0.0
825f1ffffffffff,12.0,4.0,0.0
825f27fffffffff,16.0,16.0,0.0
825f2ffffffffff,381.0,0.0,0.0
825f47fffffffff,35.0,0.0,0.0
825f4ffffffffff,48.0,0.0,0.0
825f57fffffffff,11.0,0.0,0.0
825f5ffffffffff,763.0,0.0,0.0
825f6ffffffffff,3.0,0.0,0.0
825f77fffffffff,4.0,0.0,0.0
826607fffffffff,7.0,0.0,0.0
82660ffffffffff,62.0,0.0,0.0
82661ffffffffff,959.0,0.0,48.0
826627fffffffff,211.0,0.0,0.0
82662ffffffffff,13.0,0.0,0.0
826637fffffffff,1.0,0.0,0.0
826647fffffffff,80.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0
826657fffffffff,119.0,0.0,0.0
82665ffffffffff,123.0,0.0,0.0
826667fffffffff,11.0,0.0,0.0
826677fffffffff,19.0,0.0,0.0
8266c7fffffffff,100.0,0.0,0.0
8266cffffffffff,14.0,0.0,0.0
8266d7fffffffff,3783.0,564.0,0.0
8266dffffffffff,78.0,0.0,5.0
8266e7fffffffff,820.0,0.0,10.0
8266effffffffff,155.0,0.0,0.0
8266f7fffffffff,1215.0,0.0,11.0
826747fffffffff,60.0,0.0,0.0
82674ffffffffff,727.0,0.0,0.0
826757fffffffff,185.0,1.0,0.0
82675ffffffffff,51.0,0.0,0.0
82676ffffffffff,5.0,0.0,0.0
828007fffffffff,24.0,0.0,1.0
82800ffffffffff,21.0,0.0,0.0
828017fffffffff,179.0,0.0,0.0
828027fffffffff,11.0,0.0,0.0
828037fffffffff,115.0,0.0,0.0
828047fffffffff,36.0,0.0,0.0
82804ffffffffff,28.0,0.0,0.0
828057fffffffff,9.0,0.0,0.0
828067fffffffff,7.0,0.0,0.0
82806ffffffffff,6.0,0.0,0.0
8280b7fffffffff,7.0,0.0,0.0
