cell_id,Picus chlorolophus,Picus chlorolophus [chlorolophus Group],Picus chlorolophus chlorigaster/wellsi,Picus chlorolophus citrinocristatus/longipennis,Picus chlorolophus rodgeri/vanheysti
83209afffffffff,1.0,0.0,0.0,0.0,0.0
833c0afffffffff,3.0,0.0,0.0,0.0,0.0
833c15fffffffff,1.0,0.0,0.0,0.0,0.0
833c19fffffffff,12.0,0.0,0.0,0.0,0.0
833c1dfffffffff,3.0,0.0,0.0,0.0,0.0
833c33fffffffff,1.0,0.0,0.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0,0.0,0.0
833c5cfffffffff,2.0,0.0,0.0,0.0,0.0
833c83fffffffff,2.0,0.0,0.0,0.0,0.0
833c8cfffffffff,14.0,0.0,0.0,0.0,0.0
833c90fffffffff,2.0,0.0,0.0,0.0,0.0
833cb4fffffffff,10.0,0.0,0.0,0.0,0.0
833cb5fffffffff,11.0,0.0,0.0,0.0,0.0
833ce0fffffffff,5.0,0.0,0.0,0.0,0.0
833ce4fffffffff,4.0,0.0,0.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0,0.0,0.0
833ceafffffffff,2.0,0.0,0.0,0.0,0.0
833cf2fffffffff,66.0,0.0,0.0,0.0,0.0
833d10fffffffff,5.0,0.0,0.0,0.0,0.0
833d9bfffffffff,13.0,0.0,0.0,0.0,0.0
833d9efffffffff,7.0,0.0,0.0,0.0,0.0
833da9fffffffff,4.0,0.0,0.0,0.0,0.0
8341b3fffffffff,2.0,0.0,0.0,0.0,0.0
8342d9fffffffff,8.0,0.0,0.0,0.0,0.0
836002fffffffff,39.0,0.0,0.0,0.0,0.0
836006fffffffff,151.0,0.0,0.0,0.0,0.0
836011fffffffff,39.0,0.0,0.0,0.0,0.0
836014fffffffff,7.0,0.0,0.0,0.0,0.0
836015fffffffff,15.0,0.0,0.0,0.0,0.0
836016fffffffff,13.0,0.0,0.0,0.0,0.0
83601efffffffff,3.0,0.0,0.0,0.0,0.0
836022fffffffff,1.0,0.0,0.0,0.0,0.0
836026fffffffff,2.0,0.0,0.0,0.0,0.0
836031fffffffff,298.0,0.0,0.0,0.0,0.0
836032fffffffff,7.0,0.0,0.0,0.0,0.0
836033fffffffff,121.0,0.0,0.0,0.0,0.0
836035fffffffff,7.0,0.0,0.0,0.0,0.0
836088fffffffff,11.0,0.0,0.0,0.0,0.0
83608dfffffffff,4.0,0.0,0.0,0.0,0.0
836092fffffffff,2.0,0.0,0.0,0.0,0.0
83609efffffffff,7.0,0.0,0.0,0.0,0.0
8360a6fffffffff,12.0,0.0,0.0,0.0,0.0
8360a9fffffffff,26.0,0.0,0.0,0.0,0.0
83619afffffffff,20.0,0.0,0.0,0.0,0.0
8364a3fffffffff,3.0,0.0,0.0,0.0,0.0
836500fffffffff,91.0,0.0,0.0,0.0,0.0
836505fffffffff,4.0,0.0,0.0,0.0,0.0
