cell_id,Turdus fumigatus,Turdus fumigatus personus,Turdus fumigatus [fumigatus Group]
835e71fffffffff,3.0,1.0,0.0
835f58fffffffff,14.0,0.0,10.0
835f5bfffffffff,5.0,0.0,5.0
83661bfffffffff,5.0,0.0,0.0
8366c6fffffffff,111.0,0.0,2.0
8366d5fffffffff,3.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0
8366e6fffffffff,220.0,0.0,0.0
8366f1fffffffff,18.0,0.0,2.0
8366f5fffffffff,5.0,0.0,0.0
836741fffffffff,1.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0
836759fffffffff,3.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
83a953fffffffff,3.0,0.0,0.0
