cell_id,Leiothlypis celata,Leiothlypis celata celata,Leiothlypis celata orestera,Leiothlypis celata lutescens,Leiothlypis celata sordida,Leiothlypis celata celata/orestera
840c141ffffffff,20.0,18.0,0.0,0.0,0.0,0.0
840c143ffffffff,31.0,27.0,0.0,0.0,0.0,0.0
840c147ffffffff,31.0,28.0,0.0,0.0,0.0,0.0
840c149ffffffff,4.0,4.0,0.0,0.0,0.0,0.0
840c14bffffffff,15.0,15.0,0.0,0.0,0.0,0.0
840c14dffffffff,3.0,3.0,0.0,0.0,0.0,0.0
840c15dffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c1e1ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840c297ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840c415ffffffff,11.0,3.0,0.0,1.0,0.0,0.0
840c419ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,6.0,0.0,0.0,4.0,0.0,0.0
840c441ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c451ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c455ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c461ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840c465ffffffff,7.0,7.0,0.0,0.0,0.0,0.0
840c46dffffffff,6.0,4.0,0.0,2.0,0.0,0.0
840c503ffffffff,3.0,0.0,0.0,3.0,0.0,0.0
840c51dffffffff,2.0,0.0,0.0,2.0,0.0,0.0
840c54bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c55bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840c5adffffffff,26.0,0.0,0.0,0.0,0.0,0.0
840c683ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840c69bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,23.0,4.0,0.0,4.0,0.0,0.0
840c735ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840c741ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840c74bffffffff,2.0,2.0,0.0,0.0,0.0,0.0
840c74dffffffff,1.0,1.0,0.0,0.0,0.0,0.0
840ca43ffffffff,36.0,4.0,0.0,6.0,0.0,0.0
840d5a9ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
840d723ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840d753ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e453ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e45bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e497ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840e49bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e4dbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e515ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e531ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840e535ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e539ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e53dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e623ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
840e6cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840e89bffffffff,12.0,0.0,0.0,0.0,0.0,0.0
840e8d3ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
840ec21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ec51ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
840ed45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840ed49ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840ed4dffffffff,13.0,0.0,0.0,0.0,0.0,0.0
840ed5dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840ee17ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eeb5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
840eec7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eed5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840eee3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ef25ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
840ef39ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412581ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412583ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412591ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84125b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84125d3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84128bdffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8412909ffffffff,4.0,0.0,0.0,2.0,0.0,0.0
8412ab3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ad7ffffffff,6.0,0.0,0.0,0.0,0.0,6.0
8412b01ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,60.0,5.0,0.0,0.0,0.0,0.0
8412b0bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412b49ffffffff,2.0,1.0,0.0,1.0,0.0,0.0
8412b63ffffffff,12.0,5.0,0.0,5.0,0.0,0.0
8412c03ffffffff,4.0,0.0,2.0,0.0,0.0,0.0
8412c11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8412cd9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412d05ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412d11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412d17ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412d85ffffffff,8.0,0.0,8.0,0.0,0.0,0.0
8412d87ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8412d89ffffffff,3.0,0.0,1.0,0.0,0.0,0.0
8412da1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8412da5ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8412dadffffffff,4.0,0.0,0.0,4.0,0.0,0.0
8412db7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412dc7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8412de5ffffffff,9.0,0.0,2.0,3.0,0.0,0.0
8412de7ffffffff,6.0,0.0,6.0,0.0,0.0,0.0
8412dedffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412e1bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412e87ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ea5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ea7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412f1bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8413507ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
