cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
83121afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83121bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83121efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831280fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831284fffffffff,9.0,0.0,1.0,0.0,0.0,0.0
831285fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
831288fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,145.0,0.0,0.0,0.0,0.0,0.0
83128dfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83128efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83129afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83129bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312a3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312a9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312abfffffffff,19.0,0.0,0.0,0.0,0.0,0.0
8312adfffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8312b0fffffffff,42.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8312b5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312b6fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8312c0fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,128.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312c3fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8312c4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,74.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,236.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,191.0,0.0,0.0,0.0,0.0,0.0
8312d2fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,92.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,109.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,39.0,0.0,0.0,0.0,0.0,0.0
8312dbfffffffff,84.0,0.0,2.0,0.0,0.0,0.0
8312dcfffffffff,129.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,184.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,532.0,0.0,10.0,0.0,0.0,0.0
8312e1fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
8312e2fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8312e3fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8312f1fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8312f2fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312f3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312f6fffffffff,88.0,0.0,0.0,0.0,0.0,0.0
831391fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
831393fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83139efffffffff,35.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,456.0,0.0,0.0,0.0,0.0,0.0
832683fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,94.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,65.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83268bfffffffff,25.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,303.0,0.0,0.0,0.0,0.0,0.0
83268efffffffff,41.0,0.0,0.0,0.0,0.0,0.0
832690fffffffff,75.0,0.0,0.0,16.0,0.0,0.0
832692fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
832693fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832695fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
