cell_id,Passerculus sandwichensis,Passerculus sandwichensis [sandwichensis Group],Passerculus sandwichensis princeps,Passerculus sandwichensis [guttatus Group],Passerculus sandwichensis sanctorum,Passerculus sandwichensis rostratus/atratus
830241fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8302cafffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8302d6fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8302ddfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c01fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c02fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c03fffffffff,190.0,0.0,0.0,0.0,0.0,0.0
830c04fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
830c05fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c06fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c0bfffffffff,46.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,5938.0,0.0,0.0,0.0,0.0,0.0
830c15fffffffff,270.0,0.0,0.0,0.0,0.0,0.0
830c1bfffffffff,51.0,4.0,0.0,0.0,0.0,0.0
830c1efffffffff,280.0,0.0,0.0,0.0,0.0,0.0
830c21fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
830c23fffffffff,46.0,0.0,0.0,0.0,0.0,0.0
830c24fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
830c25fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c26fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c2afffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830c2cfffffffff,58.0,0.0,0.0,0.0,0.0,0.0
830c2dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c30fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
830c32fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830c33fffffffff,243.0,0.0,0.0,0.0,0.0,0.0
830c34fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830c35fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,565.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,367.0,0.0,0.0,0.0,0.0,0.0
830c44fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,92.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,239.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,449.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,874.0,3.0,0.0,0.0,0.0,0.0
830c52fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,98.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,569.0,0.0,0.0,0.0,0.0,0.0
830c56fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,874.0,0.0,0.0,0.0,0.0,0.0
830c60fffffffff,12.0,4.0,0.0,0.0,0.0,0.0
830c61fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,47.0,2.0,0.0,0.0,0.0,0.0
830c63fffffffff,43.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,36.0,1.0,0.0,0.0,0.0,0.0
830c65fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
830c66fffffffff,410.0,43.0,0.0,0.0,0.0,0.0
830c68fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c6afffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,29.0,5.0,0.0,0.0,0.0,0.0
830c71fffffffff,113.0,0.0,0.0,0.0,0.0,0.0
830c72fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,3019.0,213.0,0.0,0.0,0.0,0.0
830c74fffffffff,787.0,63.0,0.0,0.0,0.0,0.0
830c75fffffffff,231.0,19.0,0.0,0.0,0.0,0.0
830c76fffffffff,191.0,12.0,0.0,0.0,0.0,0.0
830ca4fffffffff,422.0,0.0,0.0,0.0,0.0,0.0
830ca5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830ca9fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830cadfffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830cc4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830cc5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830cccfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830ccdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ccefffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830cd8fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830cdcfffffffff,32.0,0.0,0.0,0.0,0.0,0.0
830cddfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,191.0,0.0,0.0,0.0,0.0,0.0
830ce1fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830ce2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ce3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830ce8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ce9fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830ceafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cecfffffffff,49.0,0.0,0.0,0.0,0.0,0.0
830cedfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,104.0,0.0,0.0,0.0,0.0,0.0
830cf4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
