cell_id,Rhopospina fruticeti,Rhopospina fruticeti fruticeti/peruviana,Rhopospina fruticeti coracina
828b27fffffffff,13.0,0.0,0.0
828b2ffffffffff,13.0,0.0,0.0
828b67fffffffff,854.0,6.0,0.0
828b6ffffffffff,21.0,0.0,0.0
828e67fffffffff,927.0,0.0,0.0
828e6ffffffffff,118.0,0.0,0.0
828f57fffffffff,163.0,0.0,0.0
828f5ffffffffff,195.0,0.0,0.0
82b207fffffffff,104.0,0.0,0.0
82b20ffffffffff,109.0,0.0,0.0
82b21ffffffffff,1075.0,0.0,0.0
82b227fffffffff,38.0,0.0,0.0
82b22ffffffffff,31.0,0.0,0.0
82b24ffffffffff,1.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0
82b2c7fffffffff,4088.0,111.0,0.0
82b2cffffffffff,408.0,0.0,0.0
82b2dffffffffff,54.0,0.0,0.0
82b2e7fffffffff,794.0,0.0,0.0
82b2effffffffff,262.0,0.0,0.0
82b307fffffffff,1835.0,0.0,0.0
82b30ffffffffff,127.0,0.0,0.0
82b31ffffffffff,5.0,0.0,0.0
82b327fffffffff,276.0,0.0,0.0
82b32ffffffffff,36.0,0.0,0.0
82b337fffffffff,507.0,0.0,0.0
82b347fffffffff,14.0,0.0,0.0
82b357fffffffff,827.0,0.0,0.0
82b35ffffffffff,432.0,0.0,0.0
82b377fffffffff,352.0,0.0,0.0
82c2e7fffffffff,5.0,0.0,0.0
82c2effffffffff,2.0,0.0,0.0
82c307fffffffff,39.0,0.0,0.0
82c30ffffffffff,25.0,0.0,0.0
82c327fffffffff,576.0,0.0,0.0
82c32ffffffffff,1053.0,0.0,0.0
82c347fffffffff,6.0,0.0,0.0
82c357fffffffff,25.0,0.0,0.0
82c367fffffffff,220.0,0.0,0.0
82c36ffffffffff,13.0,0.0,0.0
82c377fffffffff,192.0,0.0,0.0
82ce87fffffffff,546.0,0.0,0.0
82ce8ffffffffff,1.0,0.0,0.0
82ce97fffffffff,719.0,0.0,0.0
82ce9ffffffffff,1025.0,0.0,0.0
82cea7fffffffff,82.0,0.0,0.0
82ceaffffffffff,11.0,0.0,0.0
82ceb7fffffffff,22.0,0.0,0.0
82cf17fffffffff,343.0,15.0,0.0
82cf87fffffffff,93.0,0.0,0.0
82cf8ffffffffff,505.0,0.0,0.0
82cf97fffffffff,216.0,0.0,0.0
82cf9ffffffffff,261.0,0.0,0.0
82cfa7fffffffff,468.0,1.0,0.0
82cfaffffffffff,215.0,0.0,0.0
82cfb7fffffffff,30.0,0.0,0.0
82df4ffffffffff,11.0,0.0,0.0
82df6ffffffffff,93.0,7.0,0.0
