cell_id,Euplectes capensis,Euplectes capensis phoenicomerus,Euplectes capensis xanthomelas,Euplectes capensis [capensis Group]
84529b3ffffffff,3.0,0.0,0.0,0.0
846adebffffffff,2.0,0.0,0.0,2.0
847a407ffffffff,2.0,0.0,0.0,0.0
847a41dffffffff,17.0,0.0,0.0,0.0
847a455ffffffff,2.0,0.0,0.0,2.0
847a481ffffffff,6.0,0.0,0.0,0.0
847a489ffffffff,18.0,0.0,0.0,0.0
847a609ffffffff,6.0,0.0,0.0,0.0
847a63dffffffff,3.0,0.0,0.0,0.0
847a681ffffffff,2.0,0.0,0.0,2.0
847a68bffffffff,2.0,0.0,0.0,0.0
847a6adffffffff,4.0,0.0,0.0,4.0
847a6b7ffffffff,4.0,0.0,0.0,0.0
849719bffffffff,1.0,0.0,0.0,1.0
84ad127ffffffff,2.0,0.0,0.0,0.0
84bcc3dffffffff,27.0,0.0,0.0,7.0
