cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
83b2dafffffffff,30.0,0.0,0.0
83c205fffffffff,10.0,0.0,0.0
83c2f1fffffffff,32.0,0.0,0.0
83c30cfffffffff,3.0,0.0,0.0
83c324fffffffff,1.0,1.0,0.0
83c32afffffffff,3.0,2.0,1.0
83c32efffffffff,4.0,2.0,2.0
83ce14fffffffff,2.0,0.0,0.0
83ce32fffffffff,3.0,0.0,0.0
83ce85fffffffff,2.0,0.0,0.0
83ce88fffffffff,1.0,0.0,0.0
83ce89fffffffff,4.0,0.0,0.0
83ce8bfffffffff,18.0,0.0,0.0
83ce8cfffffffff,25.0,0.0,0.0
83cea1fffffffff,2.0,0.0,0.0
83cea8fffffffff,12.0,8.0,0.0
83ceacfffffffff,27.0,25.0,0.0
83ceaefffffffff,53.0,17.0,0.0
83cf10fffffffff,4.0,0.0,0.0
83cf12fffffffff,5.0,0.0,0.0
83cf16fffffffff,6.0,0.0,0.0
83cf32fffffffff,3.0,0.0,0.0
83cf88fffffffff,2.0,0.0,0.0
83cf89fffffffff,5.0,3.0,0.0
83cf8cfffffffff,8.0,0.0,0.0
83cf94fffffffff,2.0,0.0,0.0
83cf9efffffffff,1.0,0.0,0.0
83cfa0fffffffff,2.0,0.0,0.0
83cfa2fffffffff,2.0,0.0,0.0
83cfa4fffffffff,6.0,0.0,0.0
83de62fffffffff,5.0,0.0,1.0
83de66fffffffff,7.0,0.0,7.0
83de70fffffffff,16.0,0.0,9.0
83de74fffffffff,5.0,0.0,0.0
83df40fffffffff,6.0,3.0,0.0
83df42fffffffff,3.0,0.0,0.0
83df44fffffffff,22.0,0.0,0.0
83df45fffffffff,32.0,0.0,0.0
83df68fffffffff,17.0,0.0,0.0
83df69fffffffff,19.0,0.0,0.0
83df6dfffffffff,29.0,0.0,5.0
