cell_id,Spilopelia chinensis,Spilopelia chinensis suratensis/ceylonensis,Spilopelia chinensis chinensis/tigrina
82209ffffffffff,30.0,0.0,0.0
82248ffffffffff,20.0,0.0,0.0
8224c7fffffffff,21.0,0.0,0.0
8224d7fffffffff,22.0,0.0,0.0
8224dffffffffff,3.0,0.0,0.0
8229a7fffffffff,188.0,0.0,0.0
8229affffffffff,66.0,0.0,0.0
823007fffffffff,10.0,0.0,0.0
823017fffffffff,39.0,0.0,0.0
82301ffffffffff,2.0,0.0,0.0
823027fffffffff,6.0,0.0,0.0
823037fffffffff,16.0,0.0,0.0
823087fffffffff,261.0,0.0,2.0
823097fffffffff,139.0,0.0,15.0
82309ffffffffff,3033.0,0.0,22.0
8230a7fffffffff,26.0,0.0,0.0
8230affffffffff,35.0,0.0,0.0
8230b7fffffffff,4.0,0.0,0.0
823157fffffffff,1.0,0.0,0.0
82316ffffffffff,1.0,0.0,0.0
823187fffffffff,498.0,0.0,40.0
82318ffffffffff,708.0,0.0,9.0
823197fffffffff,48.0,0.0,4.0
82319ffffffffff,8.0,0.0,0.0
8231a7fffffffff,2.0,0.0,2.0
8231affffffffff,1617.0,0.0,118.0
8231b7fffffffff,2.0,0.0,0.0
823c07fffffffff,1904.0,292.0,0.0
823c0ffffffffff,287.0,0.0,0.0
823c17fffffffff,578.0,3.0,0.0
823c1ffffffffff,2598.0,6.0,0.0
823c37fffffffff,538.0,0.0,0.0
823c57fffffffff,302.0,0.0,0.0
823c5ffffffffff,2349.0,0.0,0.0
823c87fffffffff,774.0,0.0,0.0
823c8ffffffffff,3004.0,4.0,0.0
823c97fffffffff,2504.0,0.0,0.0
823c9ffffffffff,395.0,0.0,0.0
823ca7fffffffff,635.0,0.0,0.0
823caffffffffff,1512.0,3.0,0.0
823cb7fffffffff,6711.0,0.0,0.0
823cc7fffffffff,2536.0,7.0,0.0
823ccffffffffff,99.0,0.0,3.0
823cd7fffffffff,125.0,0.0,0.0
823cdffffffffff,281.0,0.0,17.0
823ce7fffffffff,5810.0,2.0,0.0
823ceffffffffff,3160.0,0.0,2.0
823cf7fffffffff,11270.0,58.0,15.0
823d17fffffffff,10879.0,0.0,0.0
823d1ffffffffff,373.0,0.0,0.0
823d37fffffffff,842.0,0.0,0.0
823d87fffffffff,1335.0,0.0,0.0
823d8ffffffffff,1400.0,0.0,0.0
823d97fffffffff,1660.0,0.0,0.0
823d9ffffffffff,6560.0,0.0,0.0
823da7fffffffff,124.0,0.0,0.0
823daffffffffff,4479.0,0.0,0.0
823db7fffffffff,1433.0,0.0,0.0
824007fffffffff,6.0,0.0,0.0
82400ffffffffff,35.0,0.0,0.0
824017fffffffff,5.0,0.0,1.0
82401ffffffffff,27.0,0.0,1.0
824027fffffffff,8.0,0.0,0.0
82402ffffffffff,80.0,0.0,5.0
824037fffffffff,19.0,0.0,0.0
824047fffffffff,75.0,0.0,0.0
82404ffffffffff,640.0,0.0,113.0
824057fffffffff,8.0,0.0,0.0
82405ffffffffff,9.0,0.0,0.0
824067fffffffff,34.0,0.0,0.0
82406ffffffffff,53.0,0.0,7.0
824077fffffffff,73.0,0.0,6.0
824087fffffffff,1.0,0.0,0.0
82408ffffffffff,61.0,0.0,9.0
824097fffffffff,36.0,0.0,0.0
82409ffffffffff,3.0,0.0,0.0
8240a7fffffffff,89.0,0.0,7.0
8240affffffffff,14.0,0.0,3.0
8240b7fffffffff,84.0,0.0,3.0
8240c7fffffffff,17.0,0.0,0.0
8240d7fffffffff,10.0,0.0,0.0
8240e7fffffffff,275.0,0.0,25.0
8240effffffffff,7.0,0.0,0.0
8240f7fffffffff,6.0,0.0,0.0
824107fffffffff,386.0,0.0,32.0
82410ffffffffff,55.0,0.0,2.0
824117fffffffff,45.0,0.0,1.0
82411ffffffffff,5110.0,0.0,1148.0
824147fffffffff,41.0,0.0,0.0
82414ffffffffff,76.0,0.0,0.0
824157fffffffff,59.0,0.0,0.0
82415ffffffffff,75.0,0.0,6.0
824167fffffffff,107.0,0.0,3.0
82416ffffffffff,178.0,0.0,9.0
824177fffffffff,152.0,0.0,50.0
824187fffffffff,128.0,0.0,14.0
82418ffffffffff,37.0,0.0,2.0
824197fffffffff,601.0,0.0,31.0
82419ffffffffff,175.0,0.0,11.0
8241a7fffffffff,12420.0,0.0,5873.0
8241b7fffffffff,3418.0,0.0,210.0
82424ffffffffff,61.0,0.0,0.0
82426ffffffffff,466.0,7.0,0.0
8242c7fffffffff,322.0,0.0,0.0
8242cffffffffff,1909.0,0.0,0.0
8242d7fffffffff,17.0,0.0,0.0
8242dffffffffff,2039.0,0.0,0.0
8242effffffffff,189.0,0.0,0.0
82464ffffffffff,12819.0,0.0,2.0
824a97fffffffff,6.0,0.0,0.0
824b27fffffffff,4.0,0.0,0.0
824b37fffffffff,128.0,0.0,4.0
824b87fffffffff,4232.0,0.0,273.0
824b97fffffffff,17.0,0.0,0.0
824b9ffffffffff,24.0,0.0,0.0
824ba7fffffffff,47287.0,0.0,3358.0
824bb7fffffffff,30118.0,0.0,3453.0
825d17fffffffff,10338.0,0.0,0.0
826007fffffffff,16754.0,0.0,0.0
826017fffffffff,49002.0,0.0,0.0
82601ffffffffff,5741.0,0.0,0.0
826027fffffffff,2263.0,0.0,0.0
826037fffffffff,42854.0,0.0,0.0
826087fffffffff,248.0,0.0,0.0
82608ffffffffff,8968.0,0.0,0.0
826097fffffffff,4452.0,0.0,0.0
82609ffffffffff,1701.0,0.0,0.0
8260a7fffffffff,1372.0,0.0,0.0
8260affffffffff,6900.0,0.0,0.0
8260b7fffffffff,4583.0,0.0,0.0
8260f7fffffffff,25.0,0.0,0.0
826107fffffffff,4757.0,295.0,0.0
826117fffffffff,1001.0,62.0,0.0
82611ffffffffff,4219.0,55.0,0.0
82618ffffffffff,7914.0,0.0,0.0
82619ffffffffff,391.0,0.0,0.0
8261affffffffff,1900.0,2.0,0.0
826417fffffffff,1183.0,0.0,404.0
826427fffffffff,341.0,0.0,91.0
826437fffffffff,1720.0,0.0,726.0
826487fffffffff,3372.0,0.0,1336.0
82648ffffffffff,263.0,0.0,20.0
826497fffffffff,3262.0,0.0,1261.0
82649ffffffffff,206.0,0.0,19.0
8264a7fffffffff,5215.0,0.0,2523.0
8264affffffffff,25.0,0.0,3.0
8264b7fffffffff,965.0,0.0,362.0
826507fffffffff,1413.0,0.0,18.0
82650ffffffffff,59.0,0.0,0.0
826517fffffffff,4.0,0.0,0.0
82651ffffffffff,969.0,0.0,295.0
826527fffffffff,5031.0,0.0,82.0
82652ffffffffff,11.0,0.0,0.0
826537fffffffff,4.0,0.0,0.0
826557fffffffff,13.0,0.0,0.0
826577fffffffff,19.0,0.0,0.0
826587fffffffff,1929.0,0.0,0.0
82658ffffffffff,5537.0,0.0,2719.0
826597fffffffff,1251.0,0.0,8.0
82659ffffffffff,2191.0,0.0,693.0
8265a7fffffffff,31.0,0.0,0.0
8265affffffffff,1.0,0.0,0.0
8265b7fffffffff,1309.0,0.0,117.0
826807fffffffff,20.0,0.0,0.0
826817fffffffff,876.0,0.0,8.0
82681ffffffffff,559.0,0.0,3.0
82682ffffffffff,390.0,0.0,77.0
826847fffffffff,221.0,0.0,26.0
82684ffffffffff,106.0,0.0,19.0
826857fffffffff,1.0,0.0,0.0
82685ffffffffff,335.0,0.0,27.0
826867fffffffff,19.0,0.0,10.0
82686ffffffffff,2.0,0.0,0.0
826877fffffffff,16.0,0.0,1.0
82688ffffffffff,2.0,0.0,0.0
82689ffffffffff,2.0,0.0,0.0
8268a7fffffffff,51.0,0.0,0.0
8268c7fffffffff,18.0,0.0,0.0
8268cffffffffff,160.0,0.0,15.0
