cell_id,Asthenes dorbignyi,Asthenes dorbignyi huancavelicae,Asthenes dorbignyi arequipae,Asthenes dorbignyi usheri,Asthenes dorbignyi dorbignyi/consobrina
828b2ffffffffff,3.0,0.0,1.0,0.0,0.0
828b67fffffffff,3.0,0.0,3.0,0.0,0.0
828e6ffffffffff,44.0,0.0,10.0,31.0,0.0
828f5ffffffffff,8.0,2.0,0.0,4.0,0.0
82b2e7fffffffff,3.0,0.0,0.0,0.0,0.0
82b2effffffffff,5.0,0.0,0.0,0.0,0.0
82b307fffffffff,3.0,0.0,0.0,0.0,0.0
82b30ffffffffff,1.0,0.0,1.0,0.0,0.0
82b327fffffffff,1.0,0.0,1.0,0.0,0.0
82b32ffffffffff,1.0,0.0,1.0,0.0,0.0
82b357fffffffff,10.0,0.0,0.0,0.0,10.0
82b35ffffffffff,2.0,0.0,0.0,0.0,0.0
82b377fffffffff,5.0,0.0,0.0,0.0,2.0
