cell_id,Lanio leucothorax,Lanio leucothorax leucothorax,Lanio leucothorax [melanopygius Group]
8445305ffffffff,28.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
844532bffffffff,18.0,0.0,0.0
8445363ffffffff,15.0,0.0,0.0
8445365ffffffff,36.0,0.0,0.0
8445367ffffffff,4.0,0.0,0.0
8466a01ffffffff,6.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466b01ffffffff,407.0,0.0,0.0
8466b09ffffffff,109.0,0.0,0.0
8466b0bffffffff,298.0,0.0,0.0
8466b1dffffffff,14.0,0.0,0.0
8466b41ffffffff,5.0,0.0,0.0
8466b45ffffffff,85.0,0.0,0.0
8466b47ffffffff,134.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b4bffffffff,2.0,0.0,0.0
8466b4dffffffff,12.0,0.0,0.0
8466b51ffffffff,1.0,0.0,0.0
8466b55ffffffff,79.0,0.0,0.0
8466b57ffffffff,7.0,0.0,0.0
8467961ffffffff,58.0,0.0,0.0
84679a5ffffffff,13.0,0.0,0.0
84679a7ffffffff,16.0,0.0,0.0
84679b7ffffffff,1.0,0.0,0.0
846d681ffffffff,8.0,0.0,0.0
846d689ffffffff,3.0,0.0,0.0
846d68bffffffff,17.0,0.0,0.0
846d68dffffffff,20.0,0.0,0.0
846d691ffffffff,307.0,0.0,0.0
846d693ffffffff,4.0,0.0,0.0
846d697ffffffff,33.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0
846d69bffffffff,435.0,0.0,0.0
846d69dffffffff,1409.0,0.0,0.0
846d6d3ffffffff,2.0,0.0,0.0
