cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
8445305ffffffff,18.0,0.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0,0.0
844532bffffffff,44.0,0.0,0.0,0.0
8445363ffffffff,6.0,0.0,0.0,0.0
8445365ffffffff,31.0,0.0,0.0,0.0
8445367ffffffff,18.0,0.0,0.0,0.0
846608dffffffff,250.0,0.0,0.0,17.0
846609dffffffff,2.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,5.0,0.0,0.0,0.0
84660b3ffffffff,8.0,0.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0,0.0
84660c3ffffffff,6.0,0.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0,0.0
8466105ffffffff,4.0,0.0,0.0,0.0
8466107ffffffff,24.0,0.0,4.0,0.0
8466129ffffffff,2.0,0.0,0.0,0.0
8466131ffffffff,39.0,0.0,16.0,0.0
8466139ffffffff,109.0,0.0,53.0,0.0
846613dffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,141.0,0.0,5.0,0.0
8466165ffffffff,103.0,0.0,0.0,0.0
8466167ffffffff,5.0,0.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0,0.0
8466193ffffffff,14.0,0.0,0.0,0.0
8466195ffffffff,6.0,0.0,0.0,0.0
8466197ffffffff,38.0,0.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0
84661a5ffffffff,200.0,0.0,27.0,0.0
84661a7ffffffff,6.0,0.0,0.0,0.0
84661adffffffff,75.0,0.0,20.0,0.0
84661b1ffffffff,27.0,0.0,0.0,0.0
84661b3ffffffff,38.0,0.0,0.0,0.0
84661b7ffffffff,18.0,0.0,0.0,0.0
84661b9ffffffff,32.0,0.0,0.0,3.0
84661bbffffffff,147.0,0.0,0.0,18.0
84661bdffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0,0.0
84661d5ffffffff,5.0,0.0,0.0,0.0
84661ddffffffff,9.0,0.0,0.0,0.0
84661ebffffffff,22.0,0.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0,0.0
8466a01ffffffff,100.0,4.0,0.0,0.0
8466a05ffffffff,39.0,0.0,0.0,0.0
8466a09ffffffff,12.0,0.0,0.0,0.0
8466a0bffffffff,93.0,0.0,0.0,0.0
8466a51ffffffff,7366.0,756.0,0.0,0.0
8466a55ffffffff,159.0,12.0,0.0,0.0
8466a57ffffffff,13.0,0.0,0.0,0.0
8466a59ffffffff,46.0,0.0,0.0,0.0
8466a5bffffffff,156.0,0.0,0.0,0.0
8466a5dffffffff,143.0,25.0,0.0,0.0
8466a65ffffffff,7.0,0.0,0.0,0.0
8466a67ffffffff,20.0,0.0,0.0,0.0
8466a9bffffffff,2.0,0.0,0.0,0.0
8466b01ffffffff,440.0,0.0,0.0,0.0
8466b09ffffffff,591.0,0.0,0.0,0.0
8466b0bffffffff,544.0,0.0,0.0,0.0
8466b41ffffffff,7.0,0.0,0.0,0.0
8466b43ffffffff,5.0,0.0,0.0,0.0
8466b45ffffffff,75.0,0.0,0.0,0.0
8466b47ffffffff,160.0,0.0,0.0,0.0
8466b49ffffffff,553.0,0.0,0.0,0.0
8466b4bffffffff,52.0,0.0,0.0,0.0
8466b4dffffffff,568.0,0.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0,0.0
8466b55ffffffff,569.0,0.0,0.0,0.0
8466b57ffffffff,11.0,0.0,0.0,0.0
8466b59ffffffff,36.0,0.0,0.0,0.0
8466b5bffffffff,98.0,6.0,0.0,0.0
8466c05ffffffff,2.0,0.0,0.0,0.0
8466c0dffffffff,211.0,0.0,0.0,0.0
8466c21ffffffff,100.0,0.0,0.0,18.0
8466c25ffffffff,21.0,0.0,0.0,2.0
8466c29ffffffff,25.0,0.0,0.0,0.0
8466c2dffffffff,23.0,0.0,0.0,2.0
8466c47ffffffff,58.0,0.0,0.0,0.0
8466c49ffffffff,36.0,0.0,0.0,0.0
8466c4bffffffff,9.0,0.0,0.0,0.0
8466c4dffffffff,12.0,0.0,0.0,0.0
8466c61ffffffff,44.0,0.0,0.0,0.0
8466c63ffffffff,257.0,0.0,0.0,0.0
8466c67ffffffff,51.0,0.0,0.0,0.0
8466c6bffffffff,5.0,0.0,0.0,0.0
8466d01ffffffff,6.0,0.0,0.0,0.0
8466d03ffffffff,6.0,0.0,0.0,0.0
8466d05ffffffff,1.0,0.0,0.0,0.0
8466d07ffffffff,155.0,0.0,36.0,0.0
8466d0bffffffff,1501.0,0.0,17.0,0.0
8466d11ffffffff,12.0,0.0,0.0,8.0
8466d19ffffffff,3.0,0.0,0.0,0.0
8466d21ffffffff,2.0,0.0,0.0,0.0
8466d23ffffffff,54.0,0.0,12.0,0.0
8466d27ffffffff,4.0,0.0,4.0,0.0
8466d31ffffffff,753.0,0.0,90.0,0.0
8466d35ffffffff,1394.0,0.0,277.0,0.0
8466d37ffffffff,88.0,0.0,7.0,0.0
8466d39ffffffff,1.0,0.0,0.0,0.0
8466d3dffffffff,36.0,0.0,6.0,0.0
8466d4bffffffff,3.0,0.0,0.0,0.0
8466d53ffffffff,1.0,0.0,0.0,0.0
8466d55ffffffff,38.0,0.0,7.0,0.0
8466da7ffffffff,5.0,0.0,0.0,4.0
8466dadffffffff,12.0,0.0,0.0,7.0
8466de1ffffffff,2875.0,0.0,0.0,1270.0
8466de9ffffffff,13.0,0.0,0.0,6.0
8466dedffffffff,105.0,0.0,0.0,19.0
8466e03ffffffff,3.0,0.0,0.0,0.0
8466e0bffffffff,7.0,0.0,0.0,0.0
8466e27ffffffff,5.0,0.0,0.0,0.0
8466e2dffffffff,35.0,0.0,0.0,0.0
8466e3dffffffff,14.0,0.0,0.0,0.0
8466e47ffffffff,1.0,0.0,0.0,0.0
8466e51ffffffff,3.0,0.0,0.0,0.0
8466e55ffffffff,3.0,0.0,0.0,0.0
8466e59ffffffff,28.0,0.0,0.0,0.0
8466e5dffffffff,1.0,0.0,0.0,0.0
8466e61ffffffff,4.0,0.0,0.0,0.0
8466e65ffffffff,4.0,0.0,0.0,0.0
8466e67ffffffff,11.0,0.0,0.0,0.0
8466ee5ffffffff,2.0,0.0,0.0,0.0
8466f01ffffffff,6.0,0.0,0.0,0.0
8466f03ffffffff,847.0,0.0,87.0,0.0
8466f0bffffffff,558.0,0.0,76.0,0.0
8466f1dffffffff,176.0,0.0,2.0,0.0
8466f35ffffffff,51.0,0.0,2.0,0.0
8466f37ffffffff,3.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0
8466f57ffffffff,132.0,0.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0,0.0
8466f5dffffffff,11.0,0.0,0.0,0.0
84675a5ffffffff,9.0,0.0,0.0,5.0
