cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
825e67fffffffff,6.0,0.0,2.0
825e77fffffffff,7.0,0.0,0.0
825f47fffffffff,3.0,0.0,0.0
825f4ffffffffff,208.0,0.0,1.0
825f5ffffffffff,1466.0,0.0,66.0
82660ffffffffff,450.0,0.0,1.0
826627fffffffff,1259.0,130.0,0.0
82662ffffffffff,299.0,0.0,3.0
826637fffffffff,16.0,0.0,0.0
826657fffffffff,429.0,0.0,3.0
826667fffffffff,36.0,0.0,0.0
826677fffffffff,627.0,0.0,25.0
8266e7fffffffff,75.0,0.0,0.0
8266effffffffff,12.0,0.0,0.0
826747fffffffff,929.0,0.0,14.0
82674ffffffffff,4931.0,0.0,70.0
826757fffffffff,502.0,0.0,2.0
82675ffffffffff,820.0,0.0,6.0
