cell_id,Phylloscopus collybita,Phylloscopus collybita [collybita Group],Phylloscopus collybita tristis
8407431ffffffff,1.0,0.0,0.0
8407433ffffffff,2.0,0.0,0.0
840744bffffffff,1.0,0.0,0.0
8407451ffffffff,6.0,2.0,0.0
84074edffffffff,3.0,0.0,0.0
8407621ffffffff,16.0,8.0,2.0
8407623ffffffff,3.0,0.0,2.0
8407627ffffffff,5.0,2.0,0.0
8407635ffffffff,13.0,0.0,0.0
8407715ffffffff,2.0,0.0,0.0
8407733ffffffff,2.0,0.0,0.0
840880bffffffff,4.0,0.0,2.0
84088e1ffffffff,2.0,2.0,0.0
8408995ffffffff,2.0,0.0,2.0
84089b7ffffffff,2.0,0.0,0.0
84089d3ffffffff,2.0,0.0,2.0
8408c93ffffffff,3.0,0.0,3.0
8408d37ffffffff,2.0,0.0,2.0
8409805ffffffff,2.0,0.0,0.0
840982bffffffff,1.0,0.0,1.0
840991bffffffff,3.0,0.0,1.0
8409991ffffffff,2.0,0.0,2.0
84099ebffffffff,1.0,0.0,0.0
8409a09ffffffff,2.0,0.0,0.0
840ca43ffffffff,117.0,0.0,56.0
840d039ffffffff,3.0,0.0,3.0
8411345ffffffff,5.0,0.0,0.0
84118cdffffffff,2.0,0.0,2.0
841805bffffffff,1.0,0.0,0.0
8418281ffffffff,1.0,0.0,0.0
841828bffffffff,2.0,0.0,1.0
84182abffffffff,2.0,0.0,2.0
84182c1ffffffff,3.0,0.0,3.0
84182cbffffffff,11.0,0.0,11.0
84182d5ffffffff,3.0,0.0,3.0
8418469ffffffff,2.0,0.0,0.0
841846dffffffff,1.0,1.0,0.0
8418495ffffffff,112.0,12.0,65.0
84184b1ffffffff,4.0,0.0,0.0
84184b7ffffffff,10.0,8.0,0.0
84184b9ffffffff,4.0,0.0,0.0
84184bbffffffff,8.0,6.0,0.0
84184ddffffffff,2.0,0.0,0.0
8418593ffffffff,2.0,2.0,0.0
8418597ffffffff,3.0,3.0,0.0
84185b1ffffffff,1.0,0.0,0.0
84185b3ffffffff,2.0,2.0,0.0
84185b5ffffffff,19.0,0.0,0.0
84185bbffffffff,64.0,13.0,3.0
8418623ffffffff,2.0,0.0,0.0
841870dffffffff,6.0,0.0,6.0
8418729ffffffff,2.0,0.0,2.0
841873bffffffff,2.0,0.0,2.0
8418763ffffffff,1.0,0.0,1.0
8419013ffffffff,1.0,0.0,1.0
84190bbffffffff,2.0,0.0,0.0
8419265ffffffff,2.0,0.0,0.0
8419267ffffffff,2.0,0.0,0.0
84192bbffffffff,1.0,0.0,0.0
84192cbffffffff,8.0,0.0,0.0
8419401ffffffff,20.0,0.0,20.0
841940dffffffff,2.0,0.0,2.0
8419411ffffffff,1.0,0.0,1.0
8419413ffffffff,4.0,0.0,4.0
8419415ffffffff,11.0,0.0,11.0
841941bffffffff,2.0,0.0,2.0
841942bffffffff,2.0,0.0,0.0
8419433ffffffff,1.0,0.0,0.0
8419435ffffffff,6.0,0.0,6.0
841943dffffffff,4.0,0.0,4.0
8419481ffffffff,2.0,0.0,2.0
8419485ffffffff,4.0,0.0,2.0
841948bffffffff,1.0,0.0,0.0
841948dffffffff,9.0,1.0,6.0
84194a5ffffffff,4.0,0.0,4.0
84194a7ffffffff,2.0,0.0,2.0
84194adffffffff,6.0,0.0,6.0
84194c5ffffffff,4.0,0.0,4.0
84194d9ffffffff,1.0,0.0,1.0
84194ddffffffff,11.0,0.0,11.0
84194e3ffffffff,2.0,0.0,2.0
84194e5ffffffff,1.0,0.0,0.0
84194e9ffffffff,2.0,0.0,0.0
84194edffffffff,2.0,0.0,2.0
8419507ffffffff,2.0,0.0,0.0
8419513ffffffff,1.0,0.0,1.0
8419527ffffffff,1.0,0.0,1.0
8419529ffffffff,2.0,0.0,0.0
8419587ffffffff,2.0,0.0,2.0
8419589ffffffff,1.0,0.0,1.0
8419597ffffffff,1.0,0.0,1.0
84195a7ffffffff,2.0,0.0,2.0
84195b7ffffffff,3.0,0.0,3.0
84195b9ffffffff,3.0,0.0,2.0
84195bbffffffff,3.0,0.0,3.0
84195c7ffffffff,2.0,0.0,2.0
84195cbffffffff,2.0,0.0,2.0
84195d7ffffffff,4.0,2.0,2.0
84195d9ffffffff,5.0,0.0,5.0
841968bffffffff,2.0,0.0,2.0
84196b7ffffffff,2.0,0.0,2.0
8419721ffffffff,1.0,0.0,1.0
8419723ffffffff,1.0,0.0,0.0
8419733ffffffff,1.0,0.0,1.0
8419739ffffffff,6.0,0.0,6.0
8419769ffffffff,2.0,0.0,0.0
841976bffffffff,2.0,0.0,2.0
841e019ffffffff,1.0,0.0,0.0
841e021ffffffff,2.0,0.0,0.0
841e023ffffffff,3.0,1.0,0.0
841e029ffffffff,2.0,0.0,2.0
841e02dffffffff,2.0,0.0,2.0
841e049ffffffff,2.0,0.0,2.0
841e051ffffffff,2.0,0.0,0.0
841e059ffffffff,1.0,0.0,0.0
841e05bffffffff,6.0,0.0,0.0
841e061ffffffff,6.0,6.0,0.0
841e069ffffffff,2.0,0.0,0.0
841e085ffffffff,4.0,0.0,0.0
841e0a9ffffffff,3.0,0.0,0.0
841e0c5ffffffff,3.0,0.0,0.0
841e0e3ffffffff,2.0,0.0,0.0
841e0e7ffffffff,2.0,0.0,2.0
841e10bffffffff,2.0,0.0,0.0
841e131ffffffff,3.0,0.0,3.0
841e153ffffffff,1.0,1.0,0.0
841e157ffffffff,2.0,0.0,2.0
841e1b3ffffffff,1.0,0.0,1.0
841e1b7ffffffff,2.0,0.0,0.0
841e223ffffffff,4.0,0.0,0.0
841e225ffffffff,5.0,0.0,0.0
841e23dffffffff,1.0,0.0,0.0
841e24bffffffff,1.0,0.0,0.0
841e263ffffffff,2.0,0.0,0.0
841e2bdffffffff,3.0,0.0,0.0
841e30dffffffff,1.0,0.0,0.0
841e31bffffffff,2.0,0.0,0.0
841e341ffffffff,5.0,3.0,0.0
841e34bffffffff,25.0,2.0,1.0
841e351ffffffff,3.0,0.0,0.0
841e353ffffffff,1.0,0.0,0.0
841e355ffffffff,21.0,14.0,2.0
841e357ffffffff,2.0,2.0,0.0
841e5a9ffffffff,7.0,7.0,0.0
841e5adffffffff,2.0,2.0,0.0
841e697ffffffff,1.0,0.0,0.0
841e835ffffffff,2.0,0.0,2.0
841ea03ffffffff,2.0,0.0,0.0
841ea09ffffffff,2.0,0.0,0.0
841ea0bffffffff,1.0,0.0,0.0
841ea41ffffffff,2.0,2.0,0.0
841ea4dffffffff,1.0,1.0,0.0
841ea53ffffffff,1.0,0.0,0.0
841ea55ffffffff,3.0,0.0,1.0
841eb4dffffffff,2.0,0.0,2.0
841ec03ffffffff,1.0,0.0,0.0
841ec09ffffffff,4.0,0.0,0.0
841ec0dffffffff,2.0,0.0,0.0
841ec1dffffffff,5.0,0.0,0.0
841ec47ffffffff,9.0,0.0,0.0
841ec91ffffffff,4.0,0.0,0.0
841ec99ffffffff,1.0,0.0,0.0
841ec9bffffffff,6.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0
841eccbffffffff,1.0,0.0,0.0
841ece9ffffffff,2.0,0.0,0.0
841eda7ffffffff,2.0,0.0,2.0
841ede1ffffffff,3.0,0.0,3.0
841ede9ffffffff,1.0,0.0,0.0
841ee97ffffffff,2.0,0.0,2.0
841eeadffffffff,2.0,0.0,0.0
841eeb7ffffffff,1.0,0.0,0.0
841ef21ffffffff,5.0,0.0,0.0
841ef27ffffffff,6.0,3.0,0.0
841ef2dffffffff,9.0,9.0,0.0
841f001ffffffff,2.0,2.0,0.0
841f051ffffffff,5.0,0.0,0.0
841f059ffffffff,1.0,0.0,0.0
841f05bffffffff,9.0,0.0,0.0
841f05dffffffff,1.0,0.0,1.0
841f0d1ffffffff,2.0,2.0,0.0
841f0e7ffffffff,2.0,0.0,0.0
841f12dffffffff,2.0,0.0,0.0
841f1a5ffffffff,83.0,83.0,0.0
841f25dffffffff,3.0,0.0,3.0
841f2a3ffffffff,34.0,16.0,18.0
841f335ffffffff,1.0,0.0,0.0
841f33dffffffff,6.0,0.0,6.0
841f519ffffffff,2.0,2.0,0.0
841f535ffffffff,2.0,0.0,0.0
841f5c5ffffffff,1.0,0.0,0.0
841f715ffffffff,1.0,0.0,0.0
841f725ffffffff,37.0,5.0,12.0
841f727ffffffff,1.0,0.0,1.0
841f72dffffffff,6.0,0.0,4.0
841f823ffffffff,2.0,0.0,0.0
841f83bffffffff,6.0,0.0,6.0
841f857ffffffff,2.0,0.0,0.0
841f881ffffffff,2.0,0.0,2.0
841f8ebffffffff,7.0,0.0,0.0
841f985ffffffff,1.0,0.0,1.0
841f9c9ffffffff,1.0,0.0,0.0
841fa35ffffffff,6.0,0.0,0.0
