cell_id,Malacocincla sepiaria,Malacocincla sepiaria tardinata/barussana,Malacocincla sepiaria sepiaria,Malacocincla sepiaria rufiventris/harterti
8465005ffffffff,14.0,0.0,0.0,0.0
8465009ffffffff,8.0,0.0,0.0,0.0
846502bffffffff,22.0,0.0,0.0,0.0
8465033ffffffff,1.0,0.0,0.0,0.0
8465037ffffffff,8.0,0.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0,0.0
8465063ffffffff,6.0,0.0,0.0,0.0
8465189ffffffff,1.0,0.0,0.0,0.0
84651c1ffffffff,10.0,10.0,0.0,0.0
84651c9ffffffff,25.0,1.0,0.0,0.0
84651cbffffffff,5.0,3.0,0.0,0.0
84651cdffffffff,10.0,6.0,0.0,0.0
84651d9ffffffff,1.0,0.0,0.0,0.0
848db53ffffffff,1.0,0.0,1.0,0.0
