cell_id,Pionus tumultuosus,Pionus tumultuosus seniloides,Pionus tumultuosus tumultuosus
82660ffffffffff,53.0,2.0,0.0
82661ffffffffff,730.0,59.0,0.0
82662ffffffffff,85.0,44.0,0.0
8266c7fffffffff,133.0,0.0,0.0
8266d7fffffffff,511.0,176.0,0.0
8266dffffffffff,1410.0,509.0,0.0
8266e7fffffffff,1424.0,58.0,0.0
8266f7fffffffff,45.0,0.0,0.0
82675ffffffffff,17.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0
828b2ffffffffff,34.0,0.0,0.0
828b67fffffffff,290.0,0.0,53.0
828b6ffffffffff,444.0,0.0,60.0
828b77fffffffff,2.0,0.0,0.0
828e67fffffffff,92.0,0.0,2.0
828e6ffffffffff,8.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0
828f2ffffffffff,7.0,5.0,0.0
828f47fffffffff,93.0,14.0,0.0
828f57fffffffff,285.0,46.0,0.0
828f5ffffffffff,56.0,0.0,17.0
828f77fffffffff,382.0,84.0,0.0
82b327fffffffff,39.0,0.0,0.0
