cell_id,Myrmotherula axillaris,Myrmotherula axillaris [axillaris Group],Myrmotherula axillaris luctuosa
824537fffffffff,74.0,0.0,0.0
825f07fffffffff,143.0,2.0,0.0
825f0ffffffffff,14.0,0.0,0.0
825f17fffffffff,91.0,0.0,0.0
825f1ffffffffff,30.0,0.0,0.0
825f2ffffffffff,431.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0
825f47fffffffff,6.0,0.0,0.0
825f4ffffffffff,9.0,0.0,0.0
825f57fffffffff,40.0,0.0,0.0
825f5ffffffffff,674.0,0.0,0.0
825f6ffffffffff,27.0,0.0,0.0
825f77fffffffff,80.0,0.0,0.0
826607fffffffff,19.0,0.0,0.0
82660ffffffffff,148.0,0.0,0.0
826617fffffffff,1286.0,126.0,0.0
82661ffffffffff,481.0,2.0,0.0
826627fffffffff,5.0,0.0,0.0
82662ffffffffff,13.0,0.0,0.0
826637fffffffff,9.0,0.0,0.0
826647fffffffff,417.0,20.0,0.0
82664ffffffffff,3.0,0.0,0.0
826657fffffffff,40.0,0.0,0.0
82665ffffffffff,312.0,4.0,0.0
826667fffffffff,26.0,0.0,0.0
82666ffffffffff,42.0,0.0,0.0
826677fffffffff,12.0,0.0,0.0
8266a7fffffffff,3972.0,307.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,57.0,0.0,0.0
8266c7fffffffff,184.0,0.0,0.0
8266cffffffffff,76.0,0.0,0.0
8266d7fffffffff,861.0,69.0,0.0
8266dffffffffff,659.0,90.0,0.0
8266e7fffffffff,172.0,0.0,0.0
8266effffffffff,695.0,2.0,0.0
8266f7fffffffff,363.0,17.0,0.0
826797fffffffff,44.0,0.0,0.0
82679ffffffffff,307.0,0.0,0.0
826d6ffffffffff,665.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0
828047fffffffff,198.0,7.0,0.0
82804ffffffffff,16.0,0.0,0.0
828057fffffffff,3.0,0.0,0.0
828067fffffffff,31.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,6.0,0.0,0.0
828117fffffffff,51.0,0.0,9.0
828137fffffffff,105.0,0.0,58.0
828147fffffffff,69.0,0.0,0.0
82814ffffffffff,80.0,1.0,0.0
82815ffffffffff,26.0,0.0,0.0
828167fffffffff,45.0,0.0,0.0
828187fffffffff,567.0,0.0,164.0
82818ffffffffff,3.0,0.0,1.0
82819ffffffffff,76.0,0.0,18.0
8281a7fffffffff,32.0,0.0,31.0
8281affffffffff,6.0,0.0,0.0
828a07fffffffff,65.0,10.0,0.0
828a17fffffffff,45.0,0.0,0.0
828a1ffffffffff,22.0,2.0,0.0
828a27fffffffff,5.0,2.0,0.0
828a37fffffffff,14.0,4.0,0.0
828a47fffffffff,35.0,2.0,0.0
828a4ffffffffff,4.0,0.0,0.0
828a57fffffffff,4.0,0.0,0.0
828a6ffffffffff,424.0,0.0,0.0
828a77fffffffff,8.0,0.0,0.0
828a87fffffffff,51.0,0.0,0.0
828a97fffffffff,16.0,0.0,0.0
828a9ffffffffff,15.0,0.0,0.0
828aaffffffffff,52.0,0.0,0.0
828adffffffffff,39.0,4.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,598.0,28.0,0.0
828b0ffffffffff,6.0,0.0,0.0
828b17fffffffff,6.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0
828b2ffffffffff,8.0,0.0,0.0
828b47fffffffff,938.0,17.0,0.0
828b4ffffffffff,16.0,1.0,0.0
828b57fffffffff,42.0,3.0,0.0
828b5ffffffffff,25.0,1.0,0.0
828b67fffffffff,286.0,22.0,0.0
828b6ffffffffff,109.0,0.0,0.0
828b77fffffffff,94.0,1.0,0.0
828b87fffffffff,31.0,0.0,0.0
828b8ffffffffff,4.0,0.0,0.0
828b9ffffffffff,287.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f0ffffffffff,6.0,0.0,0.0
828f27fffffffff,2.0,0.0,0.0
828f2ffffffffff,2.0,0.0,0.0
828f47fffffffff,411.0,31.0,0.0
828f4ffffffffff,67.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
828f67fffffffff,182.0,0.0,0.0
828f6ffffffffff,19.0,4.0,0.0
828f77fffffffff,176.0,2.0,0.0
82a597fffffffff,145.0,0.0,75.0
82a887fffffffff,65.0,0.0,15.0
82a897fffffffff,278.0,0.0,86.0
82a8a7fffffffff,941.0,0.0,186.0
82a8b7fffffffff,31.0,0.0,2.0
82a8cffffffffff,14.0,0.0,0.0
