cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
824527fffffffff,25.0,5.0,0.0
82452ffffffffff,5.0,2.0,0.0
824837fffffffff,2.0,0.0,0.0
824997fffffffff,18.0,2.0,0.0
82499ffffffffff,16.0,0.0,0.0
825f2ffffffffff,4.0,4.0,0.0
825f47fffffffff,1.0,1.0,0.0
826617fffffffff,7.0,0.0,0.0
82661ffffffffff,8.0,0.0,0.0
826627fffffffff,1.0,1.0,0.0
826647fffffffff,8.0,8.0,0.0
82665ffffffffff,5.0,0.0,0.0
8266b7fffffffff,14.0,1.0,0.0
8266d7fffffffff,25.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0
826d07fffffffff,2.0,0.0,0.0
826d17fffffffff,4.0,2.0,0.0
826d27fffffffff,3.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0
826d37fffffffff,5.0,2.0,0.0
826d6ffffffffff,11.0,2.0,0.0
826d77fffffffff,2.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0
828b27fffffffff,2.0,2.0,0.0
828b57fffffffff,1.0,1.0,0.0
828b67fffffffff,1.0,1.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f57fffffffff,4.0,0.0,4.0
828f77fffffffff,1.0,1.0,0.0
82a94ffffffffff,4.0,0.0,0.0
82a967fffffffff,1.0,0.0,0.0
82a96ffffffffff,5.0,0.0,0.0
82a977fffffffff,6.0,0.0,0.0
82b34ffffffffff,3.0,0.0,0.0
