cell_id,Hafferia zeledoni,Hafferia zeledoni zeledoni,Hafferia zeledoni berlepschi
8466131ffffffff,5.0,0.0,0.0
8466139ffffffff,14.0,3.0,6.0
846613bffffffff,4.0,0.0,0.0
84661b1ffffffff,2.0,0.0,0.0
84661bbffffffff,7.0,0.0,0.0
84661ebffffffff,8.0,0.0,4.0
8466a05ffffffff,2.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0
8466b49ffffffff,4.0,2.0,0.0
8466b4dffffffff,1.0,1.0,0.0
8466b59ffffffff,1.0,0.0,0.0
8466b5bffffffff,1.0,0.0,0.0
8466f03ffffffff,3.0,0.0,0.0
8466f0bffffffff,2.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0
84679a1ffffffff,1.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
846d69bffffffff,5.0,1.0,0.0
846d69dffffffff,15.0,10.0,0.0
848f2bbffffffff,2.0,0.0,2.0
