cell_id,Sporathraupis cyanocephala,Sporathraupis cyanocephala olivicyanea,Sporathraupis cyanocephala [cyanocephala Group],Sporathraupis cyanocephala subcinerea/buesingi
825f4ffffffffff,46.0,0.0,0.0,0.0
826607fffffffff,36.0,0.0,0.0,0.0
82660ffffffffff,1092.0,0.0,0.0,0.0
82661ffffffffff,4258.0,0.0,0.0,0.0
826627fffffffff,3248.0,0.0,0.0,0.0
82662ffffffffff,422.0,0.0,0.0,0.0
8266c7fffffffff,612.0,0.0,0.0,0.0
8266d7fffffffff,2602.0,0.0,0.0,0.0
8266dffffffffff,53.0,0.0,0.0,0.0
8266e7fffffffff,6960.0,0.0,0.0,0.0
8266f7fffffffff,1024.0,0.0,0.0,0.0
826747fffffffff,339.0,0.0,0.0,0.0
82674ffffffffff,931.0,0.0,0.0,0.0
82675ffffffffff,39.0,0.0,0.0,0.0
828b27fffffffff,76.0,0.0,0.0,0.0
828b2ffffffffff,196.0,0.0,0.0,0.0
828b67fffffffff,1312.0,0.0,0.0,0.0
828b6ffffffffff,792.0,0.0,0.0,0.0
828b77fffffffff,27.0,0.0,0.0,0.0
828e67fffffffff,480.0,0.0,0.0,0.0
828e6ffffffffff,32.0,0.0,0.0,0.0
828f0ffffffffff,225.0,0.0,0.0,0.0
828f2ffffffffff,109.0,0.0,0.0,0.0
828f47fffffffff,112.0,0.0,0.0,0.0
828f4ffffffffff,10.0,0.0,0.0,0.0
828f57fffffffff,529.0,0.0,0.0,0.0
828f5ffffffffff,203.0,0.0,0.0,0.0
828f77fffffffff,958.0,0.0,0.0,0.0
82b327fffffffff,117.0,0.0,0.0,0.0
