cell_id,Pachycephala calliope,Pachycephala calliope [fulvotincta Group],Pachycephala calliope calliope
838d84fffffffff,2.0,0.0,0.0
838d85fffffffff,4.0,0.0,0.0
838da2fffffffff,32.0,3.0,0.0
838db5fffffffff,151.0,0.0,0.0
839404fffffffff,4.0,0.0,4.0
839421fffffffff,34.0,5.0,1.0
839422fffffffff,1.0,0.0,1.0
839423fffffffff,53.0,0.0,53.0
839424fffffffff,1.0,0.0,0.0
839426fffffffff,7.0,0.0,0.0
839428fffffffff,3.0,0.0,3.0
83942cfffffffff,27.0,0.0,27.0
83942dfffffffff,45.0,0.0,45.0
83942efffffffff,5.0,0.0,5.0
83950afffffffff,13.0,0.0,0.0
839512fffffffff,9.0,0.0,0.0
839518fffffffff,57.0,31.0,0.0
839519fffffffff,1.0,0.0,0.0
83951afffffffff,51.0,17.0,0.0
83951bfffffffff,3.0,1.0,0.0
83951dfffffffff,6.0,0.0,0.0
83951efffffffff,185.0,22.0,0.0
839552fffffffff,2.0,0.0,0.0
839553fffffffff,35.0,0.0,7.0
83955afffffffff,1.0,0.0,1.0
8395a4fffffffff,18.0,0.0,0.0
8395a5fffffffff,16.0,0.0,0.0
8395a9fffffffff,133.0,51.0,0.0
8395adfffffffff,4.0,3.0,0.0
