cell_id,Turdus rubrocanus,Turdus rubrocanus rubrocanus,Turdus rubrocanus gouldii
842469bffffffff,4.0,0.0,0.0
8431921ffffffff,6.0,0.0,0.0
8431aa5ffffffff,2.0,0.0,0.0
843c0a1ffffffff,2.0,0.0,0.0
843c0a5ffffffff,11.0,0.0,0.0
843c0adffffffff,2.0,0.0,0.0
843c199ffffffff,2.0,0.0,0.0
843c1d1ffffffff,13.0,0.0,0.0
843c1d3ffffffff,9.0,0.0,0.0
843c1dbffffffff,6.0,0.0,0.0
843c521ffffffff,18.0,0.0,0.0
843c581ffffffff,13.0,0.0,0.0
843c587ffffffff,1.0,0.0,0.0
843c595ffffffff,2.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0
843d041ffffffff,6.0,0.0,0.0
843d33dffffffff,3.0,0.0,0.0
843dad9ffffffff,3.0,0.0,0.0
8440899ffffffff,2.0,0.0,0.0
844089dffffffff,1.0,0.0,0.0
84409d9ffffffff,1.0,0.0,0.0
8464821ffffffff,1.0,0.0,0.0
8464825ffffffff,1.0,0.0,0.0
846482bffffffff,48.0,0.0,0.0
8464903ffffffff,39.0,0.0,0.0
8464911ffffffff,40.0,0.0,0.0
846491bffffffff,1.0,0.0,0.0
