cell_id,Tychaedon leucosticta,Tychaedon leucosticta [leucosticta Group],Tychaedon leucosticta reichenowi
8454cc3ffffffff,3.0,0.0,0.0
8458969ffffffff,3.0,0.0,0.0
846a143ffffffff,2.0,0.0,0.0
8475017ffffffff,1.0,0.0,0.0
8475085ffffffff,11.0,0.0,0.0
8475087ffffffff,6.0,0.0,0.0
84750d1ffffffff,10.0,0.0,0.0
847518dffffffff,1.0,0.0,0.0
8475295ffffffff,35.0,0.0,0.0
84752a1ffffffff,2.0,0.0,0.0
84752adffffffff,10.0,0.0,0.0
84752e9ffffffff,1.0,0.0,0.0
8475a07ffffffff,2.0,0.0,0.0
8475a81ffffffff,4.0,0.0,0.0
8475a83ffffffff,2.0,0.0,0.0
8475ab9ffffffff,1.0,0.0,0.0
8475b01ffffffff,7.0,0.0,0.0
8475b07ffffffff,2.0,0.0,0.0
8483117ffffffff,10.0,0.0,1.0
8483137ffffffff,2.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0
8483151ffffffff,24.0,0.0,6.0
8483157ffffffff,2.0,0.0,1.0
848315bffffffff,1.0,0.0,0.0
84831e5ffffffff,7.0,0.0,0.0
84831e7ffffffff,3.0,0.0,0.0
8483a89ffffffff,2.0,0.0,0.0
8483ac3ffffffff,4.0,0.0,0.0
8483ac7ffffffff,1.0,0.0,0.0
849666bffffffff,1.0,0.0,0.0
