cell_id,Myiornis auricularis,Myiornis auricularis [undescribed form]
838102fffffffff,7.0,0.0
838106fffffffff,2.0,0.0
838110fffffffff,4.0,0.0
838114fffffffff,9.0,0.0
838116fffffffff,20.0,0.0
838124fffffffff,2.0,0.0
838130fffffffff,15.0,0.0
838132fffffffff,74.0,0.0
838133fffffffff,33.0,0.0
838134fffffffff,4.0,0.0
838136fffffffff,42.0,0.0
838180fffffffff,1.0,0.0
838181fffffffff,47.0,3.0
83a596fffffffff,194.0,0.0
83a800fffffffff,5.0,0.0
83a801fffffffff,19.0,0.0
83a802fffffffff,6.0,0.0
83a803fffffffff,2.0,0.0
83a804fffffffff,1.0,0.0
83a805fffffffff,4.0,0.0
83a806fffffffff,663.0,0.0
83a80cfffffffff,11.0,0.0
83a80dfffffffff,2.0,0.0
83a810fffffffff,1061.0,0.0
83a811fffffffff,22.0,0.0
83a812fffffffff,232.0,0.0
83a813fffffffff,2.0,0.0
83a814fffffffff,86.0,0.0
83a815fffffffff,764.0,0.0
83a818fffffffff,25.0,0.0
83a81afffffffff,6.0,0.0
83a81cfffffffff,88.0,0.0
83a81dfffffffff,12.0,0.0
83a81efffffffff,238.0,0.0
83a821fffffffff,10.0,0.0
83a822fffffffff,6.0,0.0
83a824fffffffff,3.0,0.0
83a826fffffffff,37.0,0.0
83a828fffffffff,16.0,0.0
83a82afffffffff,4.0,0.0
83a82bfffffffff,7.0,0.0
83a82cfffffffff,4.0,0.0
83a82dfffffffff,11.0,0.0
83a831fffffffff,178.0,0.0
83a833fffffffff,130.0,0.0
83a835fffffffff,288.0,0.0
83a844fffffffff,3.0,0.0
83a860fffffffff,2.0,0.0
83a875fffffffff,2.0,0.0
83a880fffffffff,14.0,0.0
83a881fffffffff,82.0,0.0
83a882fffffffff,80.0,0.0
83a883fffffffff,24.0,0.0
83a884fffffffff,11.0,0.0
83a885fffffffff,3.0,0.0
83a886fffffffff,20.0,0.0
83a88cfffffffff,9.0,0.0
83a88dfffffffff,3.0,0.0
83a88efffffffff,5.0,0.0
83a891fffffffff,285.0,0.0
83a895fffffffff,18.0,0.0
83a899fffffffff,1.0,0.0
83a89afffffffff,2.0,0.0
83a89efffffffff,3.0,0.0
83a8a0fffffffff,64.0,0.0
83a8a1fffffffff,419.0,0.0
83a8a2fffffffff,283.0,0.0
83a8a3fffffffff,40.0,0.0
83a8a5fffffffff,6.0,0.0
83a8aafffffffff,24.0,0.0
83a8abfffffffff,5.0,0.0
83a8acfffffffff,40.0,0.0
83a8adfffffffff,45.0,0.0
83a8aefffffffff,2.0,0.0
83a8b1fffffffff,14.0,0.0
83a8f4fffffffff,7.0,0.0
83a90efffffffff,2.0,0.0
83a918fffffffff,12.0,0.0
83a919fffffffff,10.0,0.0
83a91bfffffffff,88.0,0.0
83a91dfffffffff,25.0,0.0
83a942fffffffff,154.0,0.0
83a943fffffffff,47.0,0.0
83a946fffffffff,166.0,0.0
83a950fffffffff,385.0,0.0
83a951fffffffff,18.0,0.0
83a953fffffffff,1555.0,0.0
83a954fffffffff,2.0,0.0
83a955fffffffff,119.0,0.0
83a956fffffffff,2.0,0.0
83a958fffffffff,1.0,0.0
83a95afffffffff,60.0,0.0
83a95bfffffffff,8.0,0.0
83a95cfffffffff,61.0,0.0
83a95efffffffff,29.0,0.0
83a971fffffffff,15.0,0.0
83a972fffffffff,2.0,0.0
83a973fffffffff,29.0,0.0
