cell_id,Rhopospina fruticeti,Rhopospina fruticeti fruticeti/peruviana,Rhopospina fruticeti coracina
838b21fffffffff,6.0,0.0,0.0
838b24fffffffff,2.0,0.0,0.0
838b25fffffffff,5.0,0.0,0.0
838b2cfffffffff,14.0,0.0,0.0
838b60fffffffff,7.0,0.0,0.0
838b61fffffffff,824.0,6.0,0.0
838b64fffffffff,12.0,0.0,0.0
838b65fffffffff,18.0,0.0,0.0
838b66fffffffff,1.0,0.0,0.0
838b6cfffffffff,11.0,0.0,0.0
838e60fffffffff,63.0,0.0,0.0
838e61fffffffff,6.0,0.0,0.0
838e62fffffffff,76.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0
838e65fffffffff,1.0,0.0,0.0
838e66fffffffff,789.0,0.0,0.0
838e68fffffffff,12.0,0.0,0.0
838e69fffffffff,34.0,0.0,0.0
838e6afffffffff,7.0,0.0,0.0
838e6cfffffffff,19.0,0.0,0.0
838e6dfffffffff,31.0,0.0,0.0
838e6efffffffff,15.0,0.0,0.0
838f51fffffffff,166.0,0.0,0.0
838f55fffffffff,6.0,0.0,0.0
838f58fffffffff,61.0,0.0,0.0
838f59fffffffff,39.0,0.0,0.0
838f5bfffffffff,35.0,0.0,0.0
838f5cfffffffff,18.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0
838f5efffffffff,21.0,0.0,0.0
83b200fffffffff,16.0,0.0,0.0
83b201fffffffff,14.0,0.0,0.0
83b203fffffffff,74.0,0.0,0.0
83b208fffffffff,11.0,0.0,0.0
83b209fffffffff,22.0,0.0,0.0
83b20afffffffff,125.0,0.0,0.0
83b20bfffffffff,4.0,0.0,0.0
83b20cfffffffff,2.0,0.0,0.0
83b20dfffffffff,12.0,0.0,0.0
83b20efffffffff,1.0,0.0,0.0
83b218fffffffff,2.0,0.0,0.0
83b219fffffffff,754.0,0.0,0.0
83b21bfffffffff,62.0,0.0,0.0
83b21dfffffffff,115.0,0.0,0.0
83b222fffffffff,36.0,0.0,0.0
83b225fffffffff,24.0,0.0,0.0
83b226fffffffff,2.0,0.0,0.0
83b228fffffffff,6.0,0.0,0.0
83b229fffffffff,12.0,0.0,0.0
83b22bfffffffff,4.0,0.0,0.0
83b22cfffffffff,1.0,0.0,0.0
83b22dfffffffff,3.0,0.0,0.0
83b24cfffffffff,1.0,0.0,0.0
83b256fffffffff,2.0,0.0,0.0
83b272fffffffff,4.0,0.0,0.0
83b274fffffffff,7.0,0.0,0.0
83b2c0fffffffff,137.0,3.0,0.0
83b2c1fffffffff,163.0,0.0,0.0
83b2c2fffffffff,3.0,0.0,0.0
83b2c3fffffffff,44.0,0.0,0.0
83b2c4fffffffff,362.0,0.0,0.0
83b2c5fffffffff,3197.0,108.0,0.0
83b2c8fffffffff,74.0,0.0,0.0
83b2cafffffffff,178.0,0.0,0.0
83b2cbfffffffff,10.0,0.0,0.0
83b2ccfffffffff,15.0,0.0,0.0
83b2cdfffffffff,9.0,0.0,0.0
83b2cefffffffff,70.0,0.0,0.0
83b2d9fffffffff,7.0,0.0,0.0
83b2dafffffffff,8.0,0.0,0.0
83b2dbfffffffff,3.0,0.0,0.0
83b2dcfffffffff,6.0,0.0,0.0
83b2ddfffffffff,38.0,0.0,0.0
83b2e0fffffffff,12.0,0.0,0.0
83b2e1fffffffff,21.0,0.0,0.0
83b2e2fffffffff,361.0,0.0,0.0
83b2e3fffffffff,305.0,0.0,0.0
83b2e4fffffffff,80.0,0.0,0.0
83b2e5fffffffff,2.0,0.0,0.0
83b2e6fffffffff,212.0,0.0,0.0
83b2e8fffffffff,46.0,0.0,0.0
83b2e9fffffffff,5.0,0.0,0.0
83b2eafffffffff,85.0,0.0,0.0
83b2ecfffffffff,8.0,0.0,0.0
83b2eefffffffff,165.0,0.0,0.0
83b300fffffffff,5.0,0.0,0.0
83b301fffffffff,98.0,0.0,0.0
83b304fffffffff,322.0,0.0,0.0
83b305fffffffff,1352.0,0.0,0.0
83b308fffffffff,2.0,0.0,0.0
83b30bfffffffff,109.0,0.0,0.0
83b30cfffffffff,5.0,0.0,0.0
83b30dfffffffff,5.0,0.0,0.0
83b30efffffffff,4.0,0.0,0.0
83b31dfffffffff,5.0,0.0,0.0
83b320fffffffff,70.0,0.0,0.0
83b321fffffffff,84.0,0.0,0.0
83b322fffffffff,6.0,0.0,0.0
83b323fffffffff,54.0,0.0,0.0
83b324fffffffff,5.0,0.0,0.0
83b325fffffffff,3.0,0.0,0.0
83b326fffffffff,60.0,0.0,0.0
83b328fffffffff,4.0,0.0,0.0
83b329fffffffff,2.0,0.0,0.0
83b32afffffffff,57.0,0.0,0.0
83b32cfffffffff,17.0,0.0,0.0
83b32dfffffffff,8.0,0.0,0.0
83b32efffffffff,2.0,0.0,0.0
83b330fffffffff,6.0,0.0,0.0
83b331fffffffff,19.0,0.0,0.0
83b334fffffffff,135.0,0.0,0.0
83b335fffffffff,348.0,0.0,0.0
83b342fffffffff,14.0,0.0,0.0
83b346fffffffff,12.0,0.0,0.0
83b350fffffffff,5.0,0.0,0.0
83b351fffffffff,195.0,0.0,0.0
83b352fffffffff,15.0,0.0,0.0
83b353fffffffff,69.0,0.0,0.0
83b354fffffffff,195.0,0.0,0.0
83b355fffffffff,294.0,0.0,0.0
83b356fffffffff,30.0,0.0,0.0
83b35afffffffff,144.0,0.0,0.0
83b35efffffffff,285.0,0.0,0.0
83b370fffffffff,1.0,0.0,0.0
83b372fffffffff,5.0,0.0,0.0
83b373fffffffff,335.0,0.0,0.0
83c2e0fffffffff,2.0,0.0,0.0
83c2e1fffffffff,2.0,0.0,0.0
83c2e3fffffffff,3.0,0.0,0.0
83c301fffffffff,16.0,0.0,0.0
83c305fffffffff,19.0,0.0,0.0
83c308fffffffff,5.0,0.0,0.0
83c30cfffffffff,5.0,0.0,0.0
83c30dfffffffff,6.0,0.0,0.0
83c320fffffffff,187.0,0.0,0.0
83c321fffffffff,80.0,0.0,0.0
83c323fffffffff,2.0,0.0,0.0
83c324fffffffff,96.0,0.0,0.0
83c325fffffffff,195.0,0.0,0.0
83c328fffffffff,22.0,0.0,0.0
83c329fffffffff,419.0,0.0,0.0
83c32afffffffff,321.0,0.0,0.0
83c32bfffffffff,33.0,0.0,0.0
