cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
82149ffffffffff,2.0,2.0,0.0
822e67fffffffff,3.0,3.0,0.0
82301ffffffffff,3.0,3.0,0.0
823037fffffffff,8.0,8.0,0.0
823087fffffffff,2.0,2.0,0.0
82309ffffffffff,22.0,22.0,0.0
8231affffffffff,1.0,1.0,0.0
823c07fffffffff,3.0,3.0,0.0
823c0ffffffffff,3.0,3.0,0.0
823c1ffffffffff,16.0,16.0,0.0
823c37fffffffff,9.0,9.0,0.0
823c57fffffffff,5.0,0.0,0.0
823c5ffffffffff,24.0,14.0,10.0
823c8ffffffffff,7.0,7.0,0.0
823caffffffffff,57.0,57.0,0.0
823cc7fffffffff,14.0,10.0,4.0
823cdffffffffff,4.0,4.0,0.0
823ce7fffffffff,36.0,14.0,18.0
823ceffffffffff,85.0,7.0,78.0
823cf7fffffffff,135.0,134.0,0.0
823d17fffffffff,15.0,15.0,0.0
823d37fffffffff,8.0,8.0,0.0
823d87fffffffff,2.0,0.0,0.0
823d8ffffffffff,4.0,4.0,0.0
823d9ffffffffff,9.0,9.0,0.0
823da7fffffffff,6.0,6.0,0.0
823daffffffffff,13.0,10.0,0.0
82411ffffffffff,1.0,1.0,0.0
824157fffffffff,3.0,3.0,0.0
82416ffffffffff,2.0,0.0,2.0
824177fffffffff,2.0,2.0,0.0
824187fffffffff,1.0,1.0,0.0
824197fffffffff,15.0,15.0,0.0
8241a7fffffffff,34.0,25.0,0.0
8241b7fffffffff,20.0,20.0,0.0
8242c7fffffffff,19.0,19.0,0.0
8242cffffffffff,12.0,12.0,0.0
8242dffffffffff,22.0,22.0,0.0
824a6ffffffffff,1.0,1.0,0.0
824b87fffffffff,52.0,11.0,19.0
824ba7fffffffff,149.0,50.0,81.0
824bb7fffffffff,116.0,13.0,97.0
826007fffffffff,84.0,84.0,0.0
826017fffffffff,79.0,79.0,0.0
82601ffffffffff,7.0,7.0,0.0
826027fffffffff,72.0,72.0,0.0
826037fffffffff,345.0,345.0,0.0
82608ffffffffff,42.0,42.0,0.0
826097fffffffff,9.0,9.0,0.0
82609ffffffffff,10.0,10.0,0.0
8260affffffffff,50.0,50.0,0.0
8260b7fffffffff,18.0,18.0,0.0
826107fffffffff,5.0,5.0,0.0
826117fffffffff,1.0,1.0,0.0
82611ffffffffff,5.0,5.0,0.0
82618ffffffffff,54.0,54.0,0.0
826417fffffffff,6.0,6.0,0.0
826437fffffffff,7.0,7.0,0.0
82648ffffffffff,1.0,1.0,0.0
826497fffffffff,2.0,2.0,0.0
8264a7fffffffff,14.0,14.0,0.0
826507fffffffff,24.0,24.0,0.0
82651ffffffffff,89.0,87.0,0.0
826527fffffffff,250.0,250.0,0.0
82658ffffffffff,20.0,20.0,0.0
826597fffffffff,12.0,7.0,5.0
82659ffffffffff,5.0,5.0,0.0
8265b7fffffffff,3.0,0.0,0.0
826807fffffffff,2.0,2.0,0.0
826817fffffffff,2.0,2.0,0.0
826937fffffffff,4.0,0.0,0.0
829457fffffffff,5.0,5.0,0.0
829487fffffffff,9.0,9.0,0.0
829c07fffffffff,10.0,10.0,0.0
829c27fffffffff,6.0,6.0,0.0
