cell_id,Gymnobucco bonapartei,Gymnobucco bonapartei bonapartei,Gymnobucco bonapartei cinereiceps
8458db5ffffffff,6.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac07ffffffff,2.0,0.0,0.0
846ac0bffffffff,6.0,0.0,0.0
846ac11ffffffff,5.0,0.0,0.0
846ac15ffffffff,224.0,0.0,0.0
846ac1dffffffff,1.0,0.0,0.0
846ac25ffffffff,1.0,0.0,0.0
846ac31ffffffff,1.0,0.0,0.0
846ac35ffffffff,8.0,0.0,0.0
846ac39ffffffff,13.0,0.0,0.0
846ac89ffffffff,3.0,0.0,0.0
846acc7ffffffff,8.0,0.0,0.0
846acd5ffffffff,60.0,0.0,0.0
846ace5ffffffff,1.0,0.0,0.0
846adc1ffffffff,844.0,0.0,0.0
846adc3ffffffff,4.0,0.0,0.0
846adc5ffffffff,210.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846adc9ffffffff,3.0,0.0,0.0
846ade7ffffffff,12.0,0.0,0.0
846aea1ffffffff,9.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
846aedbffffffff,1.0,0.0,0.0
847a489ffffffff,4.0,0.0,0.0
847a48bffffffff,11.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0
847a4c5ffffffff,12.0,0.0,0.0
847a4c7ffffffff,3.0,0.0,0.0
847a4c9ffffffff,6.0,0.0,0.0
847a4cbffffffff,523.0,0.0,48.0
847a4cdffffffff,2.0,0.0,0.0
847a4ddffffffff,224.0,0.0,3.0
847a683ffffffff,54.0,0.0,0.0
847a695ffffffff,1.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0
847a6abffffffff,1.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6b7ffffffff,1.0,0.0,0.0
848284dffffffff,1.0,0.0,0.0
84828b5ffffffff,33.0,0.0,0.0
84828bdffffffff,6.0,0.0,0.0
84828d1ffffffff,90.0,3.0,0.0
84828e5ffffffff,1.0,0.0,0.0
848290bffffffff,1.0,0.0,0.0
8482a09ffffffff,5.0,0.0,0.0
8482a0bffffffff,1.0,0.0,0.0
8482a37ffffffff,3.0,0.0,0.0
8482a3bffffffff,3.0,0.0,0.0
8482a81ffffffff,2.0,0.0,0.0
8482a8dffffffff,2.0,0.0,0.0
8482aadffffffff,3.0,0.0,0.0
8482b49ffffffff,1.0,0.0,0.0
8482d4dffffffff,2.0,0.0,0.0
8482d67ffffffff,1.0,0.0,0.0
8482f09ffffffff,12.0,0.0,0.0
84838adffffffff,1.0,0.0,0.0
8483981ffffffff,1.0,0.0,0.0
848398bffffffff,2.0,0.0,0.0
84968d1ffffffff,2.0,0.0,0.0
8496d01ffffffff,1.0,0.0,0.0
8496d21ffffffff,4.0,0.0,0.0
8496d25ffffffff,1.0,0.0,0.0
