cell_id,Setophaga petechia,Setophaga petechia [aestiva Group],Setophaga petechia [erithachorides Group],Setophaga petechia aureola,Setophaga petechia [petechia Group],Setophaga petechia [erithachorides Group x petechia Group]
83075dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,21.0,5.0,0.0,0.0,0.0,0.0
830c2dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,18.0,18.0,0.0,0.0,0.0,0.0
830c50fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c52fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c5afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,14.0,1.0,0.0,0.0,0.0,0.0
830c74fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d60fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d61fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d72fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830e45fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e80fffffffff,12.0,12.0,0.0,0.0,0.0,0.0
830e89fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ec1fffffffff,64.0,1.0,0.0,0.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eccfffffffff,56.0,0.0,0.0,0.0,0.0,0.0
830ed4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ee8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,35.0,0.0,0.0,0.0,0.0,0.0
830eebfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830eeefffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ef1fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831243fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831250fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831253fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831286fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,97.0,0.0,0.0,0.0,0.0,0.0
831290fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,36.0,0.0,0.0,0.0,0.0,0.0
8312b4fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312b5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,21.0,6.0,0.0,0.0,0.0,0.0
8312cdfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8312d2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8312dafffffffff,3.0,1.0,0.0,0.0,0.0,0.0
8312dbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,5.0,2.0,0.0,0.0,0.0,0.0
8312eafffffffff,4.0,0.0,0.0,0.0,0.0,0.0
