cell_id,Piculus chrysochloros,Piculus chrysochloros xanthochlorus,Piculus chrysochloros capistratus,Piculus chrysochloros paraensis,Piculus chrysochloros laemostictus,Piculus chrysochloros chrysochloros,Piculus chrysochloros polyzonus
836611fffffffff,12.0,3.0,0.0,0.0,0.0,0.0,0.0
83661cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
836622fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8366c5fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366ecfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83806bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838071fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
838074fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
838102fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
838104fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
838132fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,7.0
838140fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
83814afffffffff,7.0,0.0,0.0,0.0,7.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838a00fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
838b5cfffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a596fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,11.0
83a844fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
83a891fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,11.0
83a8c0fffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0
83a8cafffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
83a8ccfffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
83a8cefffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
83a961fffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
83a965fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96cfffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
83a96efffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83b342fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
83b34bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83b358fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
