cell_id,Dicrurus hottentottus,Dicrurus hottentottus hottentottus/brevirostris,Dicrurus hottentottus viridinitens,Dicrurus hottentottus borneensis,Dicrurus hottentottus jentincki/faberi,Dicrurus hottentottus leucops/banggaiensis,Dicrurus hottentottus guillemardi,Dicrurus hottentottus pectoralis,Dicrurus hottentottus suluensis
8430305ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8430325ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8430833ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8430911ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843091dffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8430963ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8430989ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a5ffffffff,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84309e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431851ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431853ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843185bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84318d1ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84318d7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431997ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431a85ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431aa5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431aa9ffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431aabffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431aadffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8431ae3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
