cell_id,Erythropitta macklotii,Erythropitta macklotii habenichti,Erythropitta macklotii [macklotii Group],Erythropitta macklotii finschii
8472901ffffffff,5.0,0.0,0.0,0.0
8472905ffffffff,13.0,0.0,0.0,0.0
8472a07ffffffff,2.0,0.0,0.0,0.0
8472a2bffffffff,15.0,0.0,0.0,0.0
8472b03ffffffff,1.0,0.0,0.0,0.0
8472d23ffffffff,2.0,0.0,0.0,0.0
8472d59ffffffff,2.0,2.0,0.0,0.0
8472d91ffffffff,1.0,1.0,0.0,0.0
8472dbbffffffff,2.0,2.0,0.0,0.0
8472dcdffffffff,1.0,1.0,0.0,0.0
8472debffffffff,1.0,1.0,0.0,0.0
8472f23ffffffff,84.0,84.0,0.0,0.0
8472f35ffffffff,1.0,1.0,0.0,0.0
8472f37ffffffff,2.0,2.0,0.0,0.0
8473987ffffffff,3.0,0.0,0.0,0.0
84739a1ffffffff,6.0,0.0,0.0,0.0
84739a7ffffffff,1.0,0.0,0.0,0.0
84739a9ffffffff,1.0,0.0,0.0,0.0
84739abffffffff,152.0,0.0,0.0,0.0
84739b1ffffffff,61.0,0.0,0.0,0.0
84739b5ffffffff,4.0,0.0,0.0,0.0
84739bbffffffff,1.0,0.0,0.0,0.0
849c191ffffffff,231.0,0.0,0.0,0.0
849c85bffffffff,36.0,0.0,0.0,0.0
849c8b5ffffffff,2.0,0.0,0.0,0.0
849c993ffffffff,2.0,2.0,0.0,0.0
849c997ffffffff,1.0,1.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0,0.0
849cb51ffffffff,18.0,0.0,0.0,0.0
849cb59ffffffff,10.0,0.0,0.0,0.0
849cd31ffffffff,71.0,0.0,0.0,0.0
849cd33ffffffff,7.0,0.0,0.0,0.0
849cf53ffffffff,43.0,0.0,0.0,0.0
849d9b3ffffffff,2.0,0.0,0.0,0.0
