cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
84945e3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849c607ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84b8857ffffffff,1.0,0.0,0.0,0.0,0.0,1.0
84be093ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be0d3ffffffff,4.0,0.0,0.0,0.0,2.0,0.0
84be0e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be401ffffffff,2.0,0.0,0.0,0.0,0.0,2.0
84be431ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be443ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
84be46bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84be4b5ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
84be607ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84be623ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84be639ffffffff,5.0,0.0,0.0,0.0,0.0,5.0
84be717ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84be72dffffffff,5.0,0.0,0.0,0.0,5.0,0.0
84be8d1ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84be8d9ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84bea97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84bef49ffffffff,2.0,0.0,0.0,0.0,2.0,0.0
