cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
825ca7fffffffff,1.0,0.0,0.0
8289b7fffffffff,1.0,0.0,0.0
8293a7fffffffff,1.0,0.0,0.0
829b0ffffffffff,1.0,0.0,0.0
829b47fffffffff,1.0,0.0,0.0
829b4ffffffffff,1.0,0.0,0.0
829f4ffffffffff,2.0,0.0,0.0
829f67fffffffff,3.0,0.0,0.0
829f6ffffffffff,3.0,0.0,0.0
82a06ffffffffff,1.0,0.0,0.0
82a167fffffffff,1.0,0.0,1.0
82ba0ffffffffff,3.0,0.0,0.0
82ba1ffffffffff,40.0,0.0,0.0
82ba67fffffffff,1.0,1.0,0.0
82ba6ffffffffff,1.0,0.0,0.0
82bac7fffffffff,2.0,0.0,0.0
82baf7fffffffff,21.0,0.0,0.0
82bb57fffffffff,5.0,0.0,0.0
82bb5ffffffffff,5.0,0.0,0.0
82be0ffffffffff,21.0,0.0,0.0
82be17fffffffff,4.0,0.0,0.0
82be1ffffffffff,14.0,0.0,0.0
82be2ffffffffff,1.0,0.0,0.0
82be67fffffffff,1.0,0.0,0.0
82be6ffffffffff,7.0,0.0,0.0
82bea7fffffffff,3.0,0.0,0.0
82beaffffffffff,41.0,0.0,0.0
82bf1ffffffffff,3.0,0.0,0.0
82bf2ffffffffff,3.0,0.0,0.0
82bf6ffffffffff,35.0,0.0,0.0
82bf77fffffffff,8.0,0.0,0.0
82bfb7fffffffff,1.0,0.0,0.0
82da8ffffffffff,1.0,0.0,0.0
