cell_id,Motacilla citreola,Motacilla citreola citreola/werae,Motacilla citreola calcarata
82618ffffffffff,165.0,0.0,0.0
82619ffffffffff,8.0,0.0,0.0
82640ffffffffff,6.0,0.0,0.0
82641ffffffffff,2.0,0.0,0.0
826487fffffffff,3.0,0.0,0.0
826497fffffffff,2.0,1.0,0.0
8264a7fffffffff,3.0,2.0,0.0
8264b7fffffffff,2.0,2.0,0.0
826527fffffffff,1.0,0.0,0.0
82659ffffffffff,1.0,0.0,0.0
827acffffffffff,4.0,0.0,0.0
829487fffffffff,3.0,0.0,0.0
8294effffffffff,10.0,10.0,0.0
82ad37fffffffff,5.0,0.0,0.0
82b917fffffffff,12.0,0.0,0.0
82bcf7fffffffff,2.0,0.0,0.0
82bee7fffffffff,5.0,0.0,0.0
