cell_id,Rissa tridactyla,Rissa tridactyla tridactyla,Rissa tridactyla pollicaris
820007fffffffff,7.0,0.0,0.0
82000ffffffffff,1.0,0.0,0.0
820027fffffffff,1.0,0.0,0.0
82002ffffffffff,120.0,10.0,0.0
820077fffffffff,28.0,2.0,0.0
82010ffffffffff,6.0,0.0,0.0
820127fffffffff,46.0,6.0,0.0
82012ffffffffff,2.0,0.0,0.0
820137fffffffff,1255.0,155.0,0.0
820157fffffffff,446.0,51.0,0.0
82015ffffffffff,453.0,178.0,0.0
82016ffffffffff,4.0,0.0,0.0
8201b7fffffffff,2.0,0.0,0.0
820247fffffffff,76.0,0.0,0.0
82024ffffffffff,70.0,0.0,0.0
820257fffffffff,63.0,0.0,0.0
82025ffffffffff,11.0,0.0,0.0
820267fffffffff,4.0,0.0,0.0
82026ffffffffff,9.0,0.0,0.0
820277fffffffff,10.0,0.0,0.0
820297fffffffff,2.0,0.0,0.0
8202effffffffff,4.0,0.0,0.0
82035ffffffffff,2.0,0.0,0.0
820627fffffffff,10.0,0.0,0.0
82062ffffffffff,5.0,0.0,0.0
820637fffffffff,7.0,0.0,0.0
820647fffffffff,3.0,0.0,0.0
820657fffffffff,6.0,0.0,0.0
82065ffffffffff,1.0,0.0,0.0
820667fffffffff,2.0,0.0,0.0
820677fffffffff,4.0,0.0,0.0
82068ffffffffff,44.0,0.0,0.0
820697fffffffff,6.0,0.0,0.0
82069ffffffffff,2.0,0.0,0.0
8206cffffffffff,6.0,0.0,0.0
8206d7fffffffff,33.0,0.0,0.0
8206dffffffffff,24.0,0.0,0.0
8206effffffffff,4.0,0.0,0.0
820707fffffffff,10.0,3.0,0.0
82070ffffffffff,3.0,0.0,0.0
820717fffffffff,4.0,0.0,0.0
82071ffffffffff,4.0,0.0,0.0
820747fffffffff,506.0,28.0,0.0
82074ffffffffff,199.0,21.0,0.0
820757fffffffff,371.0,55.0,0.0
82075ffffffffff,1898.0,205.0,0.0
820767fffffffff,117.0,2.0,0.0
820777fffffffff,674.0,82.0,0.0
8207affffffffff,9.0,0.0,0.0
820807fffffffff,21.0,0.0,0.0
820817fffffffff,2.0,0.0,0.0
820827fffffffff,4.0,0.0,0.0
82082ffffffffff,14.0,0.0,0.0
820837fffffffff,40.0,2.0,0.0
8208b7fffffffff,1.0,0.0,0.0
8208cffffffffff,1.0,0.0,0.0
8208effffffffff,61.0,3.0,0.0
820937fffffffff,13.0,0.0,0.0
82094ffffffffff,39.0,0.0,0.0
82095ffffffffff,75.0,9.0,0.0
820987fffffffff,27.0,0.0,0.0
82098ffffffffff,6.0,0.0,0.0
820997fffffffff,111.0,2.0,0.0
82099ffffffffff,24.0,13.0,0.0
8209a7fffffffff,345.0,17.0,0.0
8209affffffffff,33.0,0.0,0.0
8209b7fffffffff,2.0,0.0,0.0
820c07fffffffff,2.0,0.0,0.0
820c17fffffffff,4147.0,0.0,0.0
820c37fffffffff,21.0,0.0,0.0
820c47fffffffff,4946.0,0.0,0.0
820c4ffffffffff,1.0,0.0,0.0
820c57fffffffff,2839.0,0.0,0.0
820c5ffffffffff,1441.0,0.0,0.0
820c6ffffffffff,194.0,0.0,0.0
820c87fffffffff,23.0,0.0,0.0
820c8ffffffffff,102.0,0.0,0.0
820c9ffffffffff,4.0,0.0,0.0
820ca7fffffffff,2911.0,0.0,0.0
820caffffffffff,2.0,0.0,0.0
820cb7fffffffff,14.0,0.0,0.0
820cc7fffffffff,3.0,0.0,0.0
820ccffffffffff,51.0,0.0,0.0
820cdffffffffff,285.0,0.0,0.0
820ce7fffffffff,29.0,0.0,0.0
820ceffffffffff,230.0,0.0,1.0
820d07fffffffff,838.0,0.0,0.0
820d0ffffffffff,2.0,0.0,0.0
820d17fffffffff,38.0,0.0,0.0
820d1ffffffffff,2.0,0.0,0.0
820d27fffffffff,1.0,0.0,0.0
820d2ffffffffff,9.0,0.0,0.0
820d77fffffffff,6.0,0.0,0.0
820d8ffffffffff,35.0,0.0,0.0
820d9ffffffffff,20.0,0.0,0.0
820daffffffffff,84.0,0.0,0.0
820e4ffffffffff,1560.0,0.0,0.0
820f27fffffffff,21.0,0.0,0.0
820f2ffffffffff,8.0,0.0,0.0
820f37fffffffff,22.0,0.0,0.0
820f4ffffffffff,2.0,0.0,0.0
820f57fffffffff,13.0,0.0,0.0
820f5ffffffffff,5.0,0.0,0.0
820f67fffffffff,5.0,0.0,0.0
820f6ffffffffff,3.0,0.0,0.0
820fb7fffffffff,6.0,0.0,0.0
821167fffffffff,8.0,0.0,0.0
821287fffffffff,18.0,0.0,0.0
821297fffffffff,128.0,0.0,0.0
82129ffffffffff,457.0,0.0,0.0
8212b7fffffffff,284.0,0.0,0.0
821397fffffffff,675.0,0.0,0.0
82139ffffffffff,248.0,0.0,0.0
821447fffffffff,1.0,0.0,1.0
82144ffffffffff,5.0,0.0,5.0
821457fffffffff,16.0,0.0,16.0
82145ffffffffff,10.0,0.0,8.0
8214cffffffffff,4.0,0.0,2.0
8214effffffffff,2.0,0.0,2.0
821607fffffffff,32.0,0.0,0.0
82160ffffffffff,88.0,0.0,2.0
821617fffffffff,101.0,0.0,2.0
82161ffffffffff,6.0,0.0,0.0
821627fffffffff,50.0,0.0,3.0
82162ffffffffff,5.0,0.0,0.0
821647fffffffff,21.0,0.0,0.0
82164ffffffffff,25.0,0.0,0.0
821657fffffffff,162.0,0.0,0.0
82165ffffffffff,394.0,0.0,0.0
8216a7fffffffff,12.0,0.0,0.0
8216b7fffffffff,5.0,0.0,0.0
821717fffffffff,13.0,0.0,13.0
82171ffffffffff,11.0,0.0,4.0
821747fffffffff,135.0,0.0,2.0
821757fffffffff,137.0,0.0,6.0
82175ffffffffff,30.0,0.0,0.0
82176ffffffffff,148.0,0.0,6.0
82178ffffffffff,30.0,0.0,3.0
821807fffffffff,503.0,157.0,0.0
82180ffffffffff,48.0,0.0,0.0
821827fffffffff,77.0,12.0,0.0
82182ffffffffff,590.0,23.0,0.0
821847fffffffff,39.0,3.0,0.0
82184ffffffffff,444.0,0.0,0.0
82185ffffffffff,71.0,0.0,0.0
821867fffffffff,54.0,4.0,0.0
82186ffffffffff,7.0,0.0,0.0
821877fffffffff,579.0,64.0,0.0
821907fffffffff,42.0,2.0,0.0
82190ffffffffff,510.0,47.0,0.0
82191ffffffffff,7.0,0.0,0.0
821927fffffffff,94.0,0.0,0.0
82192ffffffffff,564.0,129.0,0.0
821947fffffffff,1069.0,135.0,0.0
82194ffffffffff,1612.0,41.0,0.0
821957fffffffff,686.0,237.0,0.0
82195ffffffffff,294.0,17.0,0.0
82196ffffffffff,94.0,0.0,0.0
821977fffffffff,887.0,94.0,0.0
821aa7fffffffff,2852.0,0.0,0.0
821ab7fffffffff,32.0,0.0,0.0
821b07fffffffff,1.0,0.0,0.0
821b17fffffffff,4.0,0.0,0.0
821b27fffffffff,6.0,0.0,0.0
821b2ffffffffff,1.0,0.0,0.0
821b37fffffffff,3.0,0.0,0.0
821b87fffffffff,118.0,0.0,0.0
821b8ffffffffff,10.0,0.0,0.0
821b97fffffffff,38.0,0.0,0.0
821b9ffffffffff,141.0,0.0,0.0
821ba7fffffffff,1.0,0.0,0.0
821baffffffffff,5.0,0.0,0.0
821bb7fffffffff,7.0,0.0,0.0
821d27fffffffff,121.0,0.0,0.0
821d37fffffffff,6.0,0.0,0.0
821d67fffffffff,7.0,0.0,0.0
821db7fffffffff,8.0,0.0,0.0
821ecffffffffff,10.0,0.0,0.0
821f07fffffffff,9.0,2.0,0.0
821f27fffffffff,128.0,21.0,0.0
821f2ffffffffff,15.0,2.0,0.0
821f37fffffffff,137.0,6.0,0.0
82225ffffffffff,61.0,0.0,0.0
82229ffffffffff,1.0,0.0,0.0
8222c7fffffffff,15.0,0.0,1.0
8222d7fffffffff,361.0,0.0,33.0
8222dffffffffff,3307.0,0.0,0.0
8222effffffffff,326.0,0.0,0.0
8222f7fffffffff,2.0,0.0,0.0
822667fffffffff,18.0,0.0,0.0
822807fffffffff,497.0,0.0,0.0
82280ffffffffff,6.0,0.0,0.0
82281ffffffffff,629.0,0.0,0.0
822837fffffffff,2119.0,0.0,0.0
8228c7fffffffff,1813.0,0.0,0.0
8228cffffffffff,105.0,0.0,0.0
8228d7fffffffff,14.0,0.0,0.0
8228dffffffffff,108.0,0.0,0.0
8228e7fffffffff,580.0,0.0,0.0
8228f7fffffffff,469.0,0.0,0.0
822917fffffffff,20.0,0.0,0.0
82291ffffffffff,153.0,0.0,0.0
8229a7fffffffff,49.0,0.0,0.0
8229affffffffff,42.0,0.0,0.0
822a07fffffffff,335.0,0.0,0.0
822a17fffffffff,7.0,0.0,0.0
822a1ffffffffff,175.0,0.0,0.0
822a37fffffffff,4358.0,0.0,0.0
822aaffffffffff,86.0,0.0,0.0
822ab7fffffffff,2.0,0.0,0.0
822ac7fffffffff,7.0,0.0,0.0
822af7fffffffff,11.0,0.0,0.0
822b07fffffffff,94.0,0.0,0.0
822b0ffffffffff,611.0,0.0,0.0
822b17fffffffff,11987.0,0.0,0.0
822b1ffffffffff,2071.0,0.0,0.0
822b27fffffffff,792.0,0.0,0.0
822b2ffffffffff,303.0,0.0,0.0
822b37fffffffff,3869.0,0.0,0.0
822baffffffffff,64.0,0.0,0.0
822c27fffffffff,3.0,0.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d27fffffffff,2.0,0.0,0.0
822da7fffffffff,12.0,0.0,0.0
