cell_id,Turdoides reinwardtii,Turdoides reinwardtii reinwardtii,Turdoides reinwardtii stictilaema
825417fffffffff,1.0,0.0,0.0
82541ffffffffff,86.0,15.0,0.0
825447fffffffff,26.0,0.0,0.0
8254affffffffff,357.0,35.0,0.0
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,159.0,29.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,236.0,22.0,0.0
825897fffffffff,2.0,0.0,0.0
8258a7fffffffff,6.0,0.0,0.0
8258b7fffffffff,3.0,0.0,0.0
8258cffffffffff,4.0,0.0,0.0
8258dffffffffff,2.0,0.0,0.0
8258e7fffffffff,25.0,0.0,0.0
827527fffffffff,175.0,0.0,15.0
82752ffffffffff,84.0,0.0,5.0
827537fffffffff,8.0,0.0,0.0
827577fffffffff,39.0,0.0,0.0
