cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
8401259ffffffff,2.0,0.0,0.0
8401261ffffffff,9.0,0.0,0.0
8401265ffffffff,2.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0
840126bffffffff,4.0,0.0,0.0
840126dffffffff,5.0,0.0,0.0
840130bffffffff,1.0,0.0,0.0
8401319ffffffff,2.0,0.0,0.0
840134bffffffff,14.0,0.0,0.0
8401351ffffffff,23.0,2.0,0.0
8401353ffffffff,10.0,3.0,0.0
8401355ffffffff,2.0,0.0,0.0
840135bffffffff,15.0,0.0,0.0
840802dffffffff,2.0,0.0,0.0
8408065ffffffff,7.0,0.0,0.0
8408103ffffffff,1.0,1.0,0.0
8408105ffffffff,3.0,2.0,0.0
8408107ffffffff,4.0,2.0,0.0
8408113ffffffff,2.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0
8408119ffffffff,2.0,2.0,0.0
840811dffffffff,6.0,4.0,0.0
8408121ffffffff,1.0,0.0,0.0
8408123ffffffff,4.0,0.0,0.0
8408125ffffffff,2.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0
8408129ffffffff,33.0,10.0,0.0
840812bffffffff,10.0,0.0,0.0
840812dffffffff,2.0,0.0,0.0
8408133ffffffff,4.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0
840813bffffffff,2.0,0.0,0.0
8408149ffffffff,4.0,0.0,0.0
840814dffffffff,10.0,0.0,0.0
8408151ffffffff,3.0,0.0,0.0
8408159ffffffff,6.0,0.0,0.0
8408165ffffffff,1.0,0.0,0.0
8408169ffffffff,3.0,0.0,0.0
8408183ffffffff,2.0,2.0,0.0
8408193ffffffff,8.0,0.0,0.0
840819dffffffff,3.0,0.0,0.0
84081d5ffffffff,8.0,0.0,0.0
84081e1ffffffff,4.0,0.0,0.0
84081e5ffffffff,12.0,0.0,0.0
84081ebffffffff,2.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0
840829bffffffff,5.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0
8408327ffffffff,2.0,0.0,0.0
8408329ffffffff,3.0,0.0,0.0
840832dffffffff,3.0,0.0,0.0
8408331ffffffff,4.0,0.0,0.0
8408335ffffffff,1.0,0.0,0.0
8408337ffffffff,6.0,0.0,0.0
840833bffffffff,1.0,0.0,0.0
840836dffffffff,3.0,0.0,0.0
8408805ffffffff,7.0,5.0,0.0
8408807ffffffff,3.0,0.0,0.0
8408809ffffffff,4.0,4.0,0.0
840880bffffffff,3.0,0.0,0.0
840880dffffffff,18.0,0.0,0.0
8408829ffffffff,2.0,0.0,0.0
840882dffffffff,7.0,4.0,0.0
8408839ffffffff,4.0,0.0,0.0
8408841ffffffff,2.0,0.0,0.0
8408843ffffffff,7.0,2.0,0.0
8408845ffffffff,14.0,10.0,0.0
8408847ffffffff,8.0,2.0,0.0
840884dffffffff,4.0,0.0,0.0
8408855ffffffff,4.0,0.0,0.0
8408859ffffffff,12.0,4.0,0.0
8408863ffffffff,3.0,1.0,0.0
8408867ffffffff,9.0,4.0,0.0
840886bffffffff,4.0,2.0,0.0
8408889ffffffff,10.0,0.0,0.0
840888dffffffff,3.0,1.0,0.0
84088a3ffffffff,2.0,0.0,0.0
84088a9ffffffff,4.0,2.0,0.0
84088adffffffff,13.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0
84088d3ffffffff,2.0,2.0,0.0
84088e1ffffffff,9.0,9.0,0.0
84088e3ffffffff,1.0,1.0,0.0
84088e5ffffffff,2.0,0.0,0.0
8408937ffffffff,9.0,0.0,0.0
8408959ffffffff,9.0,3.0,0.0
840895bffffffff,15.0,6.0,0.0
8408985ffffffff,23.0,3.0,0.0
840898bffffffff,9.0,0.0,0.0
8408991ffffffff,4.0,2.0,0.0
8408993ffffffff,2.0,0.0,0.0
8408995ffffffff,16.0,2.0,0.0
8408997ffffffff,8.0,6.0,0.0
840899bffffffff,3.0,3.0,0.0
840899dffffffff,1.0,0.0,0.0
84089a1ffffffff,7.0,0.0,0.0
84089a5ffffffff,2.0,0.0,0.0
84089a7ffffffff,9.0,1.0,0.0
84089a9ffffffff,43.0,0.0,0.0
84089abffffffff,15.0,0.0,0.0
84089adffffffff,2.0,0.0,0.0
84089b1ffffffff,2.0,2.0,0.0
84089b5ffffffff,2.0,1.0,0.0
84089b7ffffffff,4.0,0.0,0.0
84089bbffffffff,5.0,3.0,0.0
84089bdffffffff,2.0,0.0,0.0
84089d3ffffffff,16.0,0.0,0.0
84089d7ffffffff,4.0,0.0,0.0
84089d9ffffffff,6.0,0.0,0.0
84089dbffffffff,8.0,0.0,0.0
84089ddffffffff,2.0,0.0,0.0
84089e3ffffffff,3.0,0.0,0.0
84089e5ffffffff,4.0,0.0,0.0
84089ebffffffff,5.0,0.0,0.0
