cell_id,Myioborus ornatus,Myioborus ornatus chrysops,Myioborus ornatus ornatus
8466081ffffffff,2.0,0.0,0.0
8466083ffffffff,100.0,0.0,13.0
8466087ffffffff,6.0,0.0,0.0
8466089ffffffff,99.0,0.0,12.0
846608bffffffff,14.0,0.0,0.0
846608dffffffff,80.0,0.0,2.0
8466095ffffffff,6.0,0.0,0.0
846609dffffffff,106.0,0.0,0.0
84660a3ffffffff,6.0,0.0,0.0
84660b1ffffffff,40.0,0.0,0.0
84660b3ffffffff,4.0,0.0,0.0
84660b5ffffffff,81.0,0.0,0.0
84660b7ffffffff,82.0,0.0,0.0
84660b9ffffffff,216.0,0.0,9.0
84660bbffffffff,47.0,0.0,0.0
84660bdffffffff,293.0,0.0,9.0
84660c1ffffffff,6.0,0.0,0.0
84660c3ffffffff,178.0,0.0,8.0
84660c7ffffffff,5.0,0.0,0.0
84660cbffffffff,2.0,0.0,0.0
84660d5ffffffff,21.0,0.0,2.0
84660ddffffffff,63.0,0.0,0.0
8466181ffffffff,356.0,4.0,0.0
8466183ffffffff,57.0,0.0,0.0
8466185ffffffff,1.0,0.0,0.0
8466187ffffffff,185.0,5.0,0.0
8466189ffffffff,8.0,0.0,0.0
846618bffffffff,370.0,9.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,30.0,1.0,0.0
8466193ffffffff,25.0,0.0,0.0
8466195ffffffff,16.0,0.0,0.0
8466197ffffffff,513.0,2.0,0.0
846619dffffffff,324.0,1.0,0.0
84661b1ffffffff,1013.0,163.0,0.0
84661b3ffffffff,25.0,1.0,0.0
84661b7ffffffff,3.0,0.0,0.0
84661b9ffffffff,77.0,0.0,0.0
84661bbffffffff,1787.0,96.0,0.0
84661c3ffffffff,2.0,0.0,0.0
84661d1ffffffff,11.0,0.0,0.0
84661d5ffffffff,197.0,2.0,0.0
84661d7ffffffff,4.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0
84662b7ffffffff,5.0,0.0,0.0
8466c0dffffffff,71.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0
8466c2dffffffff,15.0,0.0,0.0
8466c41ffffffff,1.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0
8466c47ffffffff,27.0,0.0,0.0
8466c4bffffffff,7.0,0.0,0.0
8466c4dffffffff,24.0,1.0,0.0
8466c61ffffffff,189.0,5.0,0.0
8466c63ffffffff,11.0,0.0,0.0
8466c67ffffffff,38.0,0.0,0.0
8466c69ffffffff,483.0,0.0,0.0
8466c6bffffffff,3.0,0.0,0.0
8466c6dffffffff,35.0,1.0,0.0
8466d0bffffffff,3.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d53ffffffff,26.0,1.0,0.0
8466d57ffffffff,2.0,0.0,0.0
8466d59ffffffff,7.0,2.0,0.0
8466d5bffffffff,12.0,0.0,0.0
8466e01ffffffff,17.0,0.0,0.0
8466e03ffffffff,4.0,0.0,0.0
8466e07ffffffff,6.0,0.0,0.0
8466e09ffffffff,441.0,0.0,14.0
8466e0bffffffff,165.0,0.0,9.0
8466e0dffffffff,21.0,0.0,0.0
8466e25ffffffff,2.0,0.0,0.0
8466e2dffffffff,224.0,0.0,0.0
8466e41ffffffff,87.0,0.0,0.0
8466e43ffffffff,1847.0,0.0,96.0
8466e47ffffffff,477.0,0.0,18.0
8466e49ffffffff,38.0,0.0,0.0
8466e4bffffffff,16.0,0.0,0.0
8466e51ffffffff,1.0,0.0,0.0
8466e55ffffffff,326.0,0.0,1.0
8466e59ffffffff,12.0,0.0,0.0
8466e5dffffffff,34.0,0.0,0.0
8466e61ffffffff,451.0,7.0,0.0
8466e63ffffffff,3.0,0.0,0.0
8466e65ffffffff,1097.0,119.0,0.0
8466e67ffffffff,922.0,17.0,0.0
8466e69ffffffff,61.0,2.0,0.0
8466e6dffffffff,5410.0,339.0,0.0
8466f13ffffffff,6.0,0.0,0.0
8466f15ffffffff,18.0,0.0,0.0
8466f17ffffffff,1.0,0.0,0.0
8466f19ffffffff,281.0,2.0,0.0
8466f1dffffffff,51.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,12.0,0.0,0.0
8466f51ffffffff,8.0,0.0,0.0
8466f53ffffffff,151.0,0.0,0.0
8466f57ffffffff,12.0,0.0,0.0
8466f59ffffffff,5.0,0.0,0.0
8466f5bffffffff,183.0,1.0,0.0
8466f5dffffffff,5.0,0.0,0.0
