cell_id,Todiramphus veneratus,Todiramphus veneratus youngi,Todiramphus veneratus veneratus
8489341ffffffff,12.0,0.0,0.0
8489343ffffffff,93.0,3.0,5.0
848934bffffffff,1.0,0.0,0.0
