cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
84815a7ffffffff,1.0,0.0,0.0
84815c9ffffffff,3.0,0.0,0.0
84815d3ffffffff,1.0,0.0,0.0
84815d9ffffffff,12.0,0.0,0.0
84815e9ffffffff,2.0,0.0,0.0
8481635ffffffff,29.0,0.0,0.0
8481711ffffffff,85.0,0.0,0.0
8481713ffffffff,29.0,0.0,0.0
8481729ffffffff,2.0,0.0,0.0
848175dffffffff,8.0,0.0,0.0
8481801ffffffff,2.0,0.0,0.0
848180bffffffff,4.0,0.0,0.0
848181dffffffff,11.0,0.0,0.0
8481839ffffffff,1.0,0.0,0.0
8481851ffffffff,76.0,0.0,0.0
8481853ffffffff,2.0,0.0,0.0
8481857ffffffff,165.0,0.0,0.0
8481859ffffffff,2.0,0.0,0.0
848185bffffffff,4.0,0.0,0.0
848185dffffffff,12.0,0.0,0.0
84818e1ffffffff,23.0,0.0,0.0
848a003ffffffff,1.0,0.0,0.0
848a063ffffffff,1.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0
848a155ffffffff,21.0,0.0,0.0
848a157ffffffff,3.0,0.0,0.0
848a1e5ffffffff,2.0,0.0,0.0
848a337ffffffff,1.0,0.0,0.0
848a33bffffffff,2.0,0.0,0.0
848a41bffffffff,1.0,0.0,0.0
848a459ffffffff,8.0,0.0,0.0
848a45bffffffff,1.0,0.0,0.0
848a45dffffffff,1.0,0.0,0.0
848a637ffffffff,2.0,0.0,0.0
848a6d3ffffffff,2.0,0.0,0.0
848a6d9ffffffff,46.0,0.0,0.0
848a8cdffffffff,6.0,0.0,0.0
848aab5ffffffff,4.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0
848ab21ffffffff,1.0,0.0,0.0
848adbbffffffff,3.0,0.0,0.0
848ae5bffffffff,1.0,0.0,0.0
848af09ffffffff,9.0,0.0,0.0
848af41ffffffff,3.0,0.0,0.0
848af45ffffffff,6.0,0.0,0.0
848af69ffffffff,12.0,0.0,0.0
848b0bdffffffff,1.0,0.0,0.0
848b0c9ffffffff,24.0,0.0,0.0
848b1e1ffffffff,1.0,0.0,0.0
848b1edffffffff,2.0,0.0,0.0
848b205ffffffff,4.0,0.0,0.0
848b221ffffffff,3.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0
848b229ffffffff,18.0,0.0,0.0
848b22dffffffff,12.0,0.0,0.0
848b26bffffffff,2.0,0.0,0.0
848b2a7ffffffff,3.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b401ffffffff,25.0,0.0,0.0
848b40bffffffff,18.0,0.0,0.0
848b40dffffffff,5.0,0.0,0.0
848b44bffffffff,61.0,4.0,0.0
848b44dffffffff,18.0,0.0,0.0
848b469ffffffff,2.0,0.0,0.0
848b493ffffffff,2.0,0.0,0.0
848b4e5ffffffff,3.0,0.0,0.0
848b513ffffffff,8.0,0.0,0.0
848b563ffffffff,4.0,0.0,0.0
848b567ffffffff,3.0,0.0,0.0
848b5c3ffffffff,4.0,0.0,0.0
848b5cdffffffff,30.0,0.0,0.0
848b5e9ffffffff,2.0,0.0,0.0
848b617ffffffff,35.0,1.0,0.0
848b627ffffffff,5.0,0.0,0.0
848b631ffffffff,4.0,2.0,0.0
848b637ffffffff,8.0,0.0,0.0
848b63bffffffff,13.0,1.0,0.0
848b63dffffffff,2.0,0.0,0.0
848b695ffffffff,7.0,0.0,0.0
848b69bffffffff,3.0,0.0,0.0
848b6e7ffffffff,16.0,0.0,0.0
848b6edffffffff,15.0,0.0,0.0
848b709ffffffff,14.0,0.0,0.0
848b713ffffffff,27.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0
848b747ffffffff,2.0,0.0,0.0
848b74bffffffff,2.0,0.0,0.0
848b75bffffffff,5.0,0.0,0.0
848b75dffffffff,7.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
848b849ffffffff,9.0,0.0,0.0
848b98bffffffff,4.0,0.0,0.0
848b999ffffffff,8.0,0.0,0.0
848b99dffffffff,12.0,0.0,0.0
848b9d1ffffffff,2.0,0.0,0.0
848b9d5ffffffff,114.0,0.0,0.0
848ba47ffffffff,1.0,0.0,0.0
848ba63ffffffff,1.0,0.0,0.0
848bb59ffffffff,76.0,0.0,0.0
848e643ffffffff,20.0,0.0,0.0
848e649ffffffff,7.0,0.0,0.0
848e64bffffffff,5.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f401ffffffff,19.0,0.0,0.0
848f423ffffffff,2.0,0.0,0.0
848f431ffffffff,4.0,0.0,0.0
848f435ffffffff,2.0,0.0,0.0
848f439ffffffff,59.0,3.0,0.0
848f44bffffffff,2.0,0.0,0.0
848f455ffffffff,1.0,0.0,0.0
848f461ffffffff,18.0,0.0,0.0
848f463ffffffff,105.0,0.0,0.0
848f465ffffffff,4.0,0.0,0.0
848f467ffffffff,9.0,0.0,0.0
848f489ffffffff,4.0,0.0,0.0
848f48dffffffff,8.0,0.0,0.0
848f4a5ffffffff,4.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f4b3ffffffff,2.0,0.0,0.0
848f4c7ffffffff,27.0,0.0,0.0
848f5d3ffffffff,8.0,0.0,0.0
848f5d9ffffffff,1.0,0.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f61bffffffff,2.0,0.0,0.0
848f6bbffffffff,1.0,0.0,0.0
848f6e9ffffffff,7.0,0.0,0.0
848f705ffffffff,7.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72bffffffff,39.0,14.0,0.0
848f745ffffffff,1.0,0.0,0.0
848f74dffffffff,3.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0
84a5969ffffffff,4.0,0.0,0.0
84a8001ffffffff,2.0,0.0,0.0
84a8009ffffffff,2.0,0.0,0.0
84a8019ffffffff,4.0,0.0,0.0
84a801bffffffff,73.0,0.0,0.0
84a8029ffffffff,1.0,0.0,0.0
84a802dffffffff,4.0,0.0,0.0
84a803dffffffff,2.0,0.0,0.0
84a8049ffffffff,15.0,0.0,0.0
84a804bffffffff,4.0,0.0,0.0
84a804dffffffff,43.0,0.0,0.0
84a8055ffffffff,4.0,0.0,0.0
84a8057ffffffff,4.0,0.0,0.0
84a805dffffffff,7.0,0.0,0.0
84a8061ffffffff,33.0,0.0,0.0
84a8063ffffffff,8.0,0.0,0.0
84a8065ffffffff,7.0,0.0,0.0
84a8067ffffffff,168.0,0.0,0.0
84a8069ffffffff,22.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a806dffffffff,5.0,0.0,0.0
84a80b1ffffffff,4.0,0.0,0.0
84a80c3ffffffff,3.0,0.0,0.0
84a8101ffffffff,384.0,0.0,0.0
84a8103ffffffff,204.0,0.0,0.0
84a8105ffffffff,418.0,0.0,0.0
84a8107ffffffff,228.0,0.0,0.0
84a8109ffffffff,93.0,0.0,0.0
84a810bffffffff,116.0,0.0,0.0
84a810dffffffff,26.0,0.0,0.0
84a8111ffffffff,1.0,0.0,0.0
84a8113ffffffff,13.0,0.0,0.0
84a8115ffffffff,35.0,0.0,0.0
84a8117ffffffff,16.0,0.0,0.0
84a8119ffffffff,7.0,0.0,0.0
84a811bffffffff,5.0,0.0,0.0
84a811dffffffff,2.0,0.0,0.0
84a8121ffffffff,10.0,0.0,0.0
84a8123ffffffff,156.0,0.0,0.0
84a8125ffffffff,38.0,0.0,0.0
84a8127ffffffff,174.0,0.0,0.0
84a8129ffffffff,101.0,0.0,0.0
84a812bffffffff,67.0,0.0,0.0
84a812dffffffff,86.0,0.0,0.0
84a8131ffffffff,114.0,0.0,0.0
84a8133ffffffff,2.0,0.0,0.0
84a8137ffffffff,2.0,0.0,0.0
84a8139ffffffff,14.0,0.0,0.0
84a813bffffffff,46.0,0.0,0.0
84a813dffffffff,7.0,0.0,0.0
84a8143ffffffff,17.0,0.0,0.0
84a8151ffffffff,20.0,0.0,0.0
84a8153ffffffff,59.0,0.0,0.0
84a8155ffffffff,231.0,0.0,0.0
84a8157ffffffff,108.0,0.0,0.0
84a815bffffffff,302.0,0.0,0.0
84a8163ffffffff,5.0,0.0,0.0
84a8167ffffffff,18.0,0.0,0.0
84a8181ffffffff,2.0,0.0,0.0
84a8185ffffffff,4.0,0.0,0.0
84a8189ffffffff,2.0,0.0,0.0
84a818dffffffff,5.0,0.0,0.0
84a8195ffffffff,16.0,0.0,0.0
84a81a1ffffffff,3.0,0.0,0.0
84a81a7ffffffff,2.0,0.0,0.0
84a81a9ffffffff,4.0,0.0,0.0
84a81abffffffff,6.0,0.0,0.0
84a81adffffffff,3.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,0.0
84a81bbffffffff,2.0,0.0,0.0
84a81c3ffffffff,3.0,0.0,0.0
84a81c5ffffffff,3.0,0.0,0.0
84a81cdffffffff,138.0,0.0,0.0
84a81d1ffffffff,1.0,0.0,0.0
84a81d9ffffffff,18.0,0.0,0.0
84a81e1ffffffff,90.0,0.0,0.0
84a81e3ffffffff,9.0,0.0,0.0
84a81e7ffffffff,40.0,0.0,0.0
84a81e9ffffffff,111.0,0.0,0.0
84a81ebffffffff,12.0,0.0,0.0
84a81edffffffff,648.0,0.0,0.0
84a8203ffffffff,9.0,0.0,0.0
84a8207ffffffff,7.0,0.0,0.0
84a8211ffffffff,4.0,0.0,0.0
84a8213ffffffff,8.0,0.0,0.0
84a8215ffffffff,4.0,0.0,0.0
84a8219ffffffff,7.0,0.0,0.0
84a8225ffffffff,4.0,0.0,0.0
84a8229ffffffff,4.0,0.0,0.0
84a822bffffffff,13.0,0.0,0.0
84a8235ffffffff,8.0,0.0,0.0
84a8237ffffffff,21.0,0.0,0.0
84a823dffffffff,2.0,0.0,0.0
84a8241ffffffff,22.0,0.0,0.0
84a8245ffffffff,9.0,0.0,0.0
84a8247ffffffff,11.0,0.0,0.0
84a824bffffffff,1.0,0.0,0.0
84a8253ffffffff,1.0,0.0,0.0
84a8257ffffffff,7.0,0.0,0.0
84a8261ffffffff,10.0,0.0,0.0
84a8265ffffffff,5.0,0.0,0.0
84a8267ffffffff,5.0,0.0,0.0
84a826dffffffff,23.0,0.0,0.0
84a8287ffffffff,8.0,0.0,0.0
84a82a5ffffffff,5.0,0.0,0.0
84a82abffffffff,4.0,0.0,0.0
84a82c9ffffffff,8.0,0.0,0.0
84a82d1ffffffff,2.0,0.0,0.0
84a82d3ffffffff,2.0,0.0,0.0
84a82e1ffffffff,13.0,0.0,0.0
84a82e3ffffffff,19.0,0.0,0.0
84a82e7ffffffff,2.0,0.0,0.0
84a8311ffffffff,55.0,0.0,0.0
84a8313ffffffff,66.0,0.0,0.0
