cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840c467ffffffff,1.0,0.0,0.0,0.0
840c501ffffffff,2.0,0.0,0.0,0.0
840c51dffffffff,2.0,1.0,0.0,0.0
840c555ffffffff,1.0,1.0,0.0,0.0
840c55dffffffff,4.0,0.0,0.0,0.0
840c733ffffffff,5.0,0.0,0.0,0.0
840c735ffffffff,2.0,0.0,0.0,0.0
840c73bffffffff,2.0,0.0,0.0,0.0
840cec5ffffffff,2.0,0.0,0.0,0.0
840d499ffffffff,2.0,0.0,0.0,0.0
840d723ffffffff,3.0,0.0,0.0,0.0
840d753ffffffff,69.0,0.0,0.0,0.0
840e45bffffffff,3.0,0.0,0.0,0.0
840e485ffffffff,2.0,0.0,0.0,0.0
840e487ffffffff,3.0,0.0,0.0,0.0
840e48dffffffff,1.0,0.0,0.0,0.0
840e4abffffffff,1.0,0.0,0.0,0.0
840e4b1ffffffff,1.0,0.0,0.0,0.0
840e4b3ffffffff,2.0,0.0,0.0,0.0
840e4b9ffffffff,1.0,0.0,0.0,0.0
840e523ffffffff,2.0,0.0,0.0,0.0
840e623ffffffff,2.0,0.0,0.0,0.0
840e6e7ffffffff,5.0,0.0,0.0,0.0
840e805ffffffff,5.0,5.0,0.0,0.0
840ec51ffffffff,23.0,0.0,0.0,0.0
840ec53ffffffff,4.0,0.0,0.0,0.0
840ecb9ffffffff,2.0,0.0,0.0,0.0
840ecc1ffffffff,8.0,0.0,0.0,0.0
840ecc9ffffffff,1.0,0.0,0.0,0.0
840eea7ffffffff,5.0,0.0,0.0,0.0
840eeabffffffff,61.0,0.0,0.0,0.0
840eee3ffffffff,9.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0
841230bffffffff,2.0,0.0,0.0,0.0
8412515ffffffff,2.0,2.0,0.0,0.0
8412539ffffffff,4.0,4.0,0.0,0.0
8412555ffffffff,1.0,1.0,0.0,0.0
8412591ffffffff,2.0,0.0,0.0,0.0
84125d9ffffffff,4.0,0.0,0.0,0.0
8412ad7ffffffff,1.0,1.0,0.0,0.0
8412c03ffffffff,2.0,2.0,0.0,0.0
8412c09ffffffff,1.0,0.0,0.0,0.0
8412c0bffffffff,2.0,2.0,0.0,0.0
8412c21ffffffff,4.0,0.0,4.0,0.0
8412c4dffffffff,5.0,3.0,0.0,0.0
8412c87ffffffff,2.0,0.0,0.0,0.0
8412cb7ffffffff,2.0,0.0,2.0,0.0
8412cbdffffffff,1.0,0.0,0.0,0.0
8412cc5ffffffff,2.0,2.0,0.0,0.0
8412d8bffffffff,3.0,0.0,3.0,0.0
8412da9ffffffff,1.0,0.0,1.0,0.0
8412dadffffffff,2.0,0.0,0.0,2.0
8412db1ffffffff,7.0,0.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0,0.0
8412dbbffffffff,1.0,0.0,0.0,0.0
8412e15ffffffff,1.0,1.0,0.0,0.0
