cell_id,Campylorhynchus turdinus,Campylorhynchus turdinus turdinus/hypostictus,Campylorhynchus turdinus unicolor
836641fffffffff,144.0,0.0,0.0
836652fffffffff,1.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836656fffffffff,9.0,0.0,0.0
83665afffffffff,8.0,0.0,0.0
83665bfffffffff,2.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0
836672fffffffff,1.0,0.0,0.0
8366c0fffffffff,89.0,0.0,0.0
8366c1fffffffff,37.0,0.0,0.0
8366c2fffffffff,1105.0,0.0,0.0
8366c3fffffffff,20.0,0.0,0.0
8366c4fffffffff,1.0,0.0,0.0
8366c5fffffffff,128.0,0.0,0.0
8366c6fffffffff,5.0,0.0,0.0
8366cefffffffff,146.0,0.0,0.0
8366d1fffffffff,113.0,0.0,0.0
8366d8fffffffff,31.0,1.0,0.0
8366dafffffffff,226.0,0.0,0.0
8366dbfffffffff,32.0,0.0,0.0
8366dcfffffffff,941.0,11.0,0.0
8366ddfffffffff,104.0,0.0,0.0
8366defffffffff,948.0,4.0,0.0
8366e0fffffffff,90.0,0.0,0.0
8366e1fffffffff,74.0,0.0,0.0
8366e3fffffffff,151.0,0.0,0.0
8366e5fffffffff,102.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366eafffffffff,1.0,0.0,0.0
8366ecfffffffff,410.0,0.0,0.0
8366eefffffffff,76.0,0.0,0.0
838029fffffffff,3.0,0.0,0.0
838061fffffffff,23.0,0.0,0.0
838066fffffffff,6.0,0.0,0.0
838071fffffffff,2.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838130fffffffff,3.0,0.0,0.0
838132fffffffff,44.0,0.0,0.0
838133fffffffff,27.0,0.0,0.0
838134fffffffff,2.0,0.0,0.0
838136fffffffff,159.0,0.0,0.0
83814afffffffff,151.0,1.0,0.0
83814dfffffffff,75.0,0.0,0.0
83814efffffffff,86.0,0.0,0.0
838159fffffffff,2.0,0.0,0.0
83815afffffffff,9.0,0.0,0.0
83815dfffffffff,43.0,0.0,0.0
83815efffffffff,2.0,0.0,0.0
838a00fffffffff,25.0,3.0,0.0
838a01fffffffff,5.0,2.0,0.0
838a05fffffffff,22.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,2.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a21fffffffff,5.0,0.0,0.0
838a23fffffffff,7.0,0.0,0.0
