cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
842c365ffffffff,1.0,0.0,0.0
842c915ffffffff,1.0,0.0,0.0
842c917ffffffff,3.0,0.0,0.0
842c91dffffffff,2.0,0.0,0.0
842c935ffffffff,2.0,0.0,0.0
842c93bffffffff,1.0,0.0,0.0
842d949ffffffff,3.0,0.0,0.0
842da17ffffffff,19.0,0.0,0.0
842da81ffffffff,1.0,0.0,0.0
842dab3ffffffff,11.0,0.0,0.0
842db23ffffffff,1.0,0.0,0.0
842db35ffffffff,2.0,0.0,0.0
8438543ffffffff,1.0,0.0,0.0
8438c83ffffffff,1.0,0.0,0.0
8438dbbffffffff,1.0,0.0,0.0
8438dbdffffffff,1.0,0.0,0.0
8442515ffffffff,33.0,0.0,0.0
8442531ffffffff,10.0,0.0,0.0
8442533ffffffff,8.0,0.0,1.0
844253bffffffff,5.0,0.0,0.0
8442c13ffffffff,5.0,0.0,0.0
8442c19ffffffff,12.0,0.0,0.0
8442c1bffffffff,10.0,0.0,0.0
8442c1dffffffff,2.0,0.0,0.0
8442c41ffffffff,2.0,0.0,0.0
8442c4bffffffff,5.0,0.0,0.0
8442c51ffffffff,2.0,0.0,0.0
8442c59ffffffff,7.0,0.0,0.0
8442c5bffffffff,5.0,0.0,0.0
8442c5dffffffff,33.0,0.0,0.0
8442e31ffffffff,5.0,0.0,0.0
8442e37ffffffff,12.0,0.0,0.0
8443929ffffffff,2.0,0.0,2.0
844396dffffffff,2.0,0.0,2.0
8443a17ffffffff,16.0,0.0,0.0
8443a6bffffffff,1.0,0.0,0.0
8443aedffffffff,1.0,0.0,0.0
84524ddffffffff,2.0,0.0,2.0
845269bffffffff,1.0,0.0,1.0
8454b05ffffffff,4.0,4.0,0.0
8454b07ffffffff,5.0,5.0,0.0
8459001ffffffff,2.0,0.0,0.0
8459015ffffffff,1.0,0.0,0.0
8459017ffffffff,1.0,0.0,0.0
84590c5ffffffff,2.0,0.0,0.0
8463353ffffffff,2.0,0.0,2.0
846336dffffffff,5.0,0.0,5.0
