cell_id,Myadestes genibarbis,Myadestes genibarbis [genibarbis Group],Myadestes genibarbis sibilans
8245b7fffffffff,102.0,0.0,0.0
824c8ffffffffff,5.0,0.0,0.0
824cd7fffffffff,541.0,37.0,0.0
824cf7fffffffff,7.0,0.0,0.0
825e47fffffffff,301.0,21.0,0.0
825e77fffffffff,19.0,0.0,11.0
826727fffffffff,399.0,22.0,0.0
826737fffffffff,1109.0,32.0,0.0
