cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
8445057ffffffff,5.0,0.0,0.0
84450b5ffffffff,3.0,0.0,0.0
8445203ffffffff,4.0,4.0,0.0
844520dffffffff,2.0,0.0,0.0
8445215ffffffff,1.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0
8445281ffffffff,6.0,0.0,0.0
8445287ffffffff,3.0,0.0,0.0
84452abffffffff,2.0,0.0,0.0
84452e1ffffffff,3.0,0.0,0.0
84452e9ffffffff,3.0,3.0,0.0
8445649ffffffff,3.0,1.0,0.0
8445721ffffffff,1.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0
8449961ffffffff,3.0,0.0,0.0
8449963ffffffff,9.0,2.0,0.0
8449969ffffffff,1.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
846610bffffffff,2.0,0.0,0.0
8466113ffffffff,9.0,0.0,0.0
84661b1ffffffff,2.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0
84661c3ffffffff,3.0,0.0,0.0
84661cdffffffff,8.0,0.0,0.0
8466b0bffffffff,7.0,4.0,0.0
8466b49ffffffff,2.0,0.0,0.0
8466b4dffffffff,2.0,1.0,0.0
8466b55ffffffff,4.0,2.0,0.0
8466d01ffffffff,2.0,0.0,0.0
8466d31ffffffff,1.0,0.0,1.0
8466d35ffffffff,4.0,0.0,4.0
8466f03ffffffff,1.0,0.0,0.0
8466f1dffffffff,8.0,0.0,0.0
8466f5dffffffff,7.0,0.0,0.0
846792dffffffff,2.0,0.0,0.0
84679a5ffffffff,6.0,2.0,0.0
846d203ffffffff,4.0,4.0,0.0
846d22bffffffff,2.0,2.0,0.0
846d239ffffffff,1.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d295ffffffff,6.0,6.0,0.0
846d2c9ffffffff,6.0,2.0,0.0
846d305ffffffff,2.0,0.0,0.0
846d30dffffffff,1.0,1.0,0.0
846d315ffffffff,3.0,0.0,0.0
846d319ffffffff,4.0,4.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d35dffffffff,5.0,2.0,0.0
846d641ffffffff,5.0,0.0,0.0
846d645ffffffff,4.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0
846d653ffffffff,5.0,0.0,0.0
846d66dffffffff,8.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d683ffffffff,1.0,0.0,0.0
846d685ffffffff,1.0,0.0,0.0
846d691ffffffff,2.0,1.0,0.0
846d695ffffffff,4.0,4.0,0.0
846d697ffffffff,7.0,5.0,0.0
846d699ffffffff,1.0,1.0,0.0
846d69bffffffff,8.0,4.0,0.0
846d69dffffffff,132.0,115.0,0.0
846d6e9ffffffff,2.0,0.0,0.0
848f0dbffffffff,5.0,2.0,0.0
848f2a9ffffffff,4.0,0.0,4.0
