cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
83452afffffffff,2.0,0.0,0.0
83452cfffffffff,48.0,0.0,0.0
83452efffffffff,14.0,0.0,0.0
834833fffffffff,1.0,0.0,0.0
834880fffffffff,4.0,2.0,0.0
834882fffffffff,2.0,0.0,0.0
834883fffffffff,2.0,0.0,0.0
834891fffffffff,1.0,0.0,0.0
834895fffffffff,3.0,0.0,0.0
83489cfffffffff,2.0,2.0,0.0
83489dfffffffff,13.0,0.0,0.0
8348a2fffffffff,4.0,2.0,0.0
8348b1fffffffff,15.0,4.0,0.0
8348b2fffffffff,5.0,1.0,0.0
8348b3fffffffff,35.0,4.0,0.0
834990fffffffff,6.0,0.0,0.0
834996fffffffff,16.0,13.0,0.0
834998fffffffff,6.0,5.0,0.0
8349a2fffffffff,2.0,0.0,2.0
8349a8fffffffff,1.0,0.0,1.0
836d15fffffffff,4.0,0.0,0.0
836d23fffffffff,4.0,0.0,0.0
836d2efffffffff,10.0,0.0,0.0
836d31fffffffff,2.0,2.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,25.0,0.0,1.0
836d6bfffffffff,1.0,0.0,0.0
