cell_id,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos affinis,Cymbirhynchus macrorhynchos [macrorhynchos Group]
836416fffffffff,4.0,0.0,0.0
8364a4fffffffff,2.0,0.0,0.0
836500fffffffff,121.0,0.0,0.0
836502fffffffff,68.0,0.0,0.0
836503fffffffff,7.0,0.0,0.0
836505fffffffff,3.0,0.0,0.0
836518fffffffff,24.0,0.0,0.0
83651cfffffffff,12.0,0.0,0.0
83651dfffffffff,33.0,0.0,0.0
836520fffffffff,3.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0
836526fffffffff,5.0,0.0,0.0
836531fffffffff,2.0,0.0,0.0
836818fffffffff,9.0,0.0,8.0
