cell_id,Otus icterorhynchus,Otus icterorhynchus icterorhynchus,Otus icterorhynchus holerythrus
8358d3fffffffff,23.0,0.0,0.0
83750dfffffffff,1.0,0.0,0.0
83752afffffffff,2.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
8375acfffffffff,1.0,0.0,0.0
838212fffffffff,1.0,0.0,0.0
838290fffffffff,1.0,0.0,0.0
8382a8fffffffff,1.0,0.0,0.0
8382d2fffffffff,1.0,0.0,0.0
8382d3fffffffff,11.0,0.0,0.0
