cell_id,Ficedula superciliaris,Ficedula superciliaris superciliaris,Ficedula superciliaris aestigma
823c0ffffffffff,2.0,0.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c5ffffffffff,3.0,0.0,0.0
823c97fffffffff,19.0,0.0,0.0
823ca7fffffffff,3.0,0.0,0.0
823caffffffffff,8.0,0.0,0.0
823ce7fffffffff,7.0,0.0,0.0
823ceffffffffff,7.0,0.0,0.0
823cf7fffffffff,22.0,0.0,0.0
823d17fffffffff,19.0,0.0,0.0
823d37fffffffff,12.0,0.0,0.0
823d87fffffffff,4.0,0.0,0.0
823d8ffffffffff,15.0,0.0,0.0
823d9ffffffffff,2.0,0.0,0.0
823da7fffffffff,38.0,0.0,0.0
823daffffffffff,9.0,0.0,0.0
824047fffffffff,4.0,0.0,0.0
82404ffffffffff,3.0,0.0,0.0
82411ffffffffff,4.0,0.0,0.0
82424ffffffffff,4.0,0.0,0.0
8242c7fffffffff,12.0,0.0,0.0
8242cffffffffff,20.0,0.0,0.0
8242dffffffffff,7.0,0.0,0.0
8242effffffffff,3.0,0.0,0.0
82431ffffffffff,15.0,0.0,0.0
826017fffffffff,192.0,0.0,0.0
826087fffffffff,20.0,0.0,0.0
82608ffffffffff,2.0,0.0,0.0
826097fffffffff,8.0,0.0,0.0
8260a7fffffffff,180.0,0.0,0.0
8260affffffffff,23.0,0.0,0.0
8260b7fffffffff,54.0,0.0,0.0
82618ffffffffff,39.0,0.0,0.0
826417fffffffff,3.0,0.0,0.0
826487fffffffff,5.0,0.0,0.0
826497fffffffff,107.0,0.0,0.0
82659ffffffffff,9.0,0.0,0.0
