cell_id,Artamus cinereus,Artamus cinereus normani/inkermani,Artamus cinereus [cinereus Group]
829407fffffffff,1.0,0.0,0.0
82941ffffffffff,17.0,0.0,0.0
829427fffffffff,4.0,0.0,0.0
82942ffffffffff,66.0,0.0,0.0
829457fffffffff,98.0,0.0,3.0
82945ffffffffff,165.0,0.0,25.0
829487fffffffff,769.0,0.0,193.0
82948ffffffffff,46.0,0.0,4.0
829497fffffffff,32.0,0.0,9.0
8294affffffffff,31.0,0.0,2.0
8294c7fffffffff,86.0,0.0,5.0
8294cffffffffff,59.0,0.0,11.0
8294d7fffffffff,36.0,0.0,4.0
8294e7fffffffff,118.0,0.0,16.0
8294effffffffff,905.0,0.0,216.0
8294f7fffffffff,177.0,0.0,9.0
829c07fffffffff,112.0,22.0,0.0
829c0ffffffffff,10.0,3.0,0.0
829c27fffffffff,85.0,3.0,0.0
829c2ffffffffff,239.0,27.0,1.0
829c47fffffffff,37.0,0.0,4.0
829c4ffffffffff,52.0,0.0,11.0
829c5ffffffffff,12.0,0.0,0.0
829c67fffffffff,132.0,0.0,59.0
829c6ffffffffff,44.0,0.0,2.0
829c77fffffffff,133.0,0.0,3.0
829ceffffffffff,2.0,0.0,0.0
829d07fffffffff,3.0,0.0,0.0
829d0ffffffffff,142.0,1.0,0.0
829d27fffffffff,84.0,7.0,0.0
829d2ffffffffff,50.0,27.0,0.0
829d47fffffffff,411.0,0.0,88.0
829d4ffffffffff,328.0,0.0,70.0
829d57fffffffff,62.0,0.0,20.0
829d5ffffffffff,88.0,0.0,12.0
829d67fffffffff,116.0,0.0,9.0
829d6ffffffffff,133.0,1.0,18.0
829d77fffffffff,68.0,0.0,4.0
82a617fffffffff,80.0,0.0,0.0
82a627fffffffff,22.0,0.0,0.0
82a637fffffffff,15.0,0.0,0.0
82a6a7fffffffff,90.0,0.0,0.0
82a707fffffffff,75.0,0.0,0.0
82a717fffffffff,194.0,0.0,33.0
82a71ffffffffff,52.0,0.0,0.0
82a727fffffffff,40.0,0.0,0.0
82a737fffffffff,235.0,0.0,13.0
82a787fffffffff,71.0,0.0,1.0
82a78ffffffffff,60.0,0.0,0.0
82a797fffffffff,7.0,0.0,1.0
82a79ffffffffff,70.0,0.0,2.0
82a7a7fffffffff,24.0,0.0,6.0
82a7affffffffff,11.0,0.0,0.0
82a7b7fffffffff,8.0,0.0,0.0
82b807fffffffff,18.0,0.0,0.0
82b80ffffffffff,3.0,0.0,0.0
82b817fffffffff,31.0,0.0,8.0
82b827fffffffff,38.0,0.0,0.0
82b82ffffffffff,15.0,0.0,0.0
82b837fffffffff,1.0,0.0,0.0
82b847fffffffff,15.0,0.0,1.0
82b84ffffffffff,22.0,0.0,1.0
82b857fffffffff,27.0,0.0,9.0
82b85ffffffffff,29.0,0.0,12.0
82b867fffffffff,2.0,0.0,0.0
82b86ffffffffff,32.0,0.0,4.0
82b877fffffffff,18.0,0.0,0.0
82b887fffffffff,607.0,0.0,91.0
82b88ffffffffff,18.0,0.0,5.0
82b897fffffffff,11.0,0.0,5.0
82b89ffffffffff,87.0,0.0,15.0
82b8a7fffffffff,118.0,0.0,13.0
82b8affffffffff,228.0,0.0,27.0
82b8b7fffffffff,15.0,0.0,0.0
82b8c7fffffffff,7.0,0.0,5.0
82b917fffffffff,36.0,0.0,5.0
82b987fffffffff,348.0,0.0,56.0
82b98ffffffffff,110.0,0.0,8.0
82b997fffffffff,133.0,0.0,1.0
82b99ffffffffff,84.0,0.0,6.0
82b9a7fffffffff,115.0,0.0,9.0
82b9affffffffff,198.0,0.0,14.0
82b9b7fffffffff,818.0,0.0,77.0
82be47fffffffff,332.0,0.0,51.0
82be4ffffffffff,173.0,0.0,28.0
82be57fffffffff,29.0,0.0,0.0
82be5ffffffffff,72.0,0.0,11.0
82bec7fffffffff,52.0,0.0,0.0
82becffffffffff,842.0,0.0,71.0
82bed7fffffffff,27.0,0.0,0.0
82bedffffffffff,18.0,0.0,2.0
82bee7fffffffff,51.0,0.0,0.0
82beeffffffffff,113.0,0.0,6.0
82bef7fffffffff,16.0,0.0,0.0
82c987fffffffff,31.0,0.0,6.0
82c997fffffffff,375.0,0.0,11.0
82c99ffffffffff,8.0,0.0,0.0
82c9b7fffffffff,124.0,0.0,17.0
