cell_id,Larus californicus,Larus californicus californicus,Larus californicus albertaensis
840c419ffffffff,2.0,0.0,0.0
840c42dffffffff,3.0,0.0,0.0
840c457ffffffff,2.0,0.0,0.0
840c503ffffffff,9.0,0.0,0.0
840c555ffffffff,5.0,0.0,0.0
840c5a5ffffffff,6.0,0.0,0.0
840c5a7ffffffff,1.0,0.0,0.0
840c5adffffffff,1.0,0.0,0.0
840c687ffffffff,1.0,0.0,0.0
840c68bffffffff,2.0,0.0,0.0
840c699ffffffff,3.0,0.0,0.0
840c69dffffffff,3.0,0.0,0.0
840c6a1ffffffff,1.0,0.0,0.0
840c733ffffffff,15.0,0.0,0.0
840d619ffffffff,4.0,0.0,0.0
840e805ffffffff,5.0,0.0,0.0
8412511ffffffff,2.0,0.0,2.0
8412515ffffffff,1.0,0.0,1.0
8412539ffffffff,2.0,0.0,2.0
84125d9ffffffff,4.0,0.0,0.0
8412891ffffffff,4.0,0.0,0.0
841289bffffffff,1.0,0.0,0.0
8412907ffffffff,2.0,0.0,0.0
84129a3ffffffff,3.0,0.0,0.0
8412b01ffffffff,8.0,0.0,0.0
8412b03ffffffff,17.0,0.0,0.0
8412b05ffffffff,8.0,0.0,0.0
8412b09ffffffff,1.0,0.0,0.0
8412b0dffffffff,3.0,0.0,0.0
8412b55ffffffff,4.0,0.0,0.0
8412c11ffffffff,3.0,0.0,0.0
8412c17ffffffff,2.0,0.0,0.0
8412c1bffffffff,2.0,0.0,2.0
8412c21ffffffff,1.0,0.0,0.0
8412c3bffffffff,2.0,0.0,0.0
8412c4dffffffff,1.0,0.0,0.0
8412c9dffffffff,4.0,0.0,0.0
8412ca5ffffffff,2.0,0.0,0.0
8412cadffffffff,6.0,0.0,0.0
8412cc1ffffffff,2.0,0.0,1.0
8412ccdffffffff,20.0,0.0,0.0
8412cebffffffff,2.0,0.0,0.0
8412d17ffffffff,4.0,0.0,0.0
8412d63ffffffff,3.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0
8412d97ffffffff,5.0,0.0,0.0
8412db3ffffffff,4.0,0.0,0.0
8412ddbffffffff,6.0,0.0,0.0
8412dedffffffff,5.0,0.0,0.0
8412ec1ffffffff,20.0,0.0,0.0
8412f01ffffffff,2.0,0.0,0.0
8413529ffffffff,15.0,0.0,0.0
841383dffffffff,39.0,0.0,0.0
8413867ffffffff,3.0,0.0,0.0
8413893ffffffff,2.0,0.0,0.0
841391dffffffff,10.0,0.0,0.0
8413921ffffffff,2.0,0.0,0.0
8413931ffffffff,2.0,0.0,0.0
8413939ffffffff,2.0,0.0,0.0
841396dffffffff,2.0,0.0,0.0
84139e1ffffffff,1.0,0.0,0.0
84139edffffffff,1.0,0.0,0.0
841d209ffffffff,1.0,0.0,0.0
841d243ffffffff,2.0,0.0,0.0
8426039ffffffff,6.0,0.0,0.0
8426043ffffffff,2.0,0.0,0.0
84260adffffffff,3.0,0.0,0.0
84260d9ffffffff,3.0,0.0,0.0
8426127ffffffff,2.0,0.0,0.0
842616dffffffff,2.0,0.0,0.0
842621dffffffff,2.0,0.0,0.0
8426263ffffffff,4.0,0.0,0.0
842626dffffffff,1.0,0.0,0.0
84262c9ffffffff,6.0,0.0,0.0
8426337ffffffff,3.0,0.0,0.0
842634dffffffff,2.0,0.0,0.0
8426369ffffffff,12.0,0.0,0.0
842636bffffffff,3.0,0.0,0.0
8426409ffffffff,20.0,0.0,0.0
842640dffffffff,4.0,0.0,0.0
8426413ffffffff,14.0,0.0,0.0
842644dffffffff,27.0,0.0,0.0
842646bffffffff,6.0,0.0,0.0
842648dffffffff,5.0,0.0,0.0
84264b9ffffffff,5.0,0.0,0.0
84264c5ffffffff,1.0,0.0,0.0
84264c7ffffffff,8.0,0.0,0.0
84264cdffffffff,1.0,0.0,0.0
8426501ffffffff,2.0,0.0,0.0
8426521ffffffff,3.0,0.0,0.0
842652dffffffff,2.0,0.0,0.0
8426531ffffffff,3.0,0.0,0.0
842654bffffffff,1.0,0.0,0.0
8426565ffffffff,10.0,0.0,0.0
8426567ffffffff,17.0,0.0,0.0
842656dffffffff,11.0,0.0,0.0
84265a7ffffffff,2.0,0.0,0.0
842662dffffffff,5.0,0.0,0.0
8426635ffffffff,1.0,0.0,0.0
8426641ffffffff,17.0,0.0,0.0
8426649ffffffff,8.0,0.0,0.0
842664dffffffff,31.0,0.0,0.0
842666bffffffff,10.0,0.0,0.0
8426689ffffffff,6.0,0.0,0.0
8426711ffffffff,4.0,0.0,0.0
8426719ffffffff,1.0,0.0,0.0
8426729ffffffff,1.0,0.0,0.0
8426745ffffffff,4.0,0.0,0.0
842675dffffffff,3.0,0.0,0.0
8426803ffffffff,8.0,0.0,0.0
8426809ffffffff,6.0,0.0,0.0
842680bffffffff,97.0,0.0,0.0
8426811ffffffff,2.0,0.0,0.0
8426817ffffffff,25.0,0.0,0.0
8426819ffffffff,3.0,0.0,0.0
842681bffffffff,54.0,0.0,0.0
8426823ffffffff,2.0,0.0,0.0
8426831ffffffff,2.0,0.0,0.0
8426835ffffffff,1.0,0.0,0.0
8426839ffffffff,2.0,0.0,0.0
842683bffffffff,2.0,0.0,0.0
8426851ffffffff,2.0,0.0,0.0
8426853ffffffff,12.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0
8426859ffffffff,2.0,0.0,0.0
842685dffffffff,10.0,0.0,0.0
8426881ffffffff,82.0,0.0,0.0
8426887ffffffff,4.0,0.0,0.0
8426889ffffffff,5.0,0.0,0.0
8426899ffffffff,4.0,0.0,0.0
84268a1ffffffff,2.0,0.0,0.0
84268b1ffffffff,2.0,0.0,0.0
84268c3ffffffff,4.0,0.0,0.0
84268c7ffffffff,25.0,0.0,0.0
84268cdffffffff,82.0,0.0,0.0
84268d3ffffffff,11.0,0.0,0.0
84268d7ffffffff,7.0,0.0,0.0
84268e1ffffffff,14.0,0.0,0.0
84268e9ffffffff,5.0,0.0,0.0
84268ebffffffff,50.0,0.0,0.0
84268edffffffff,11.0,0.0,0.0
8426905ffffffff,1.0,0.0,0.0
8426907ffffffff,14.0,0.0,0.0
842690dffffffff,17.0,0.0,0.0
8426945ffffffff,8.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0
8426961ffffffff,10.0,0.0,0.0
8426963ffffffff,1.0,0.0,0.0
8426965ffffffff,2.0,0.0,0.0
8426969ffffffff,95.0,0.0,0.0
842696bffffffff,22.0,0.0,0.0
8426981ffffffff,3.0,0.0,0.0
8426987ffffffff,33.0,0.0,0.0
8426989ffffffff,10.0,0.0,0.0
842698dffffffff,1.0,0.0,0.0
8426995ffffffff,14.0,0.0,0.0
8426997ffffffff,2.0,0.0,0.0
842699dffffffff,3.0,0.0,0.0
84269bbffffffff,13.0,0.0,0.0
84269cbffffffff,4.0,0.0,0.0
84269cdffffffff,61.0,0.0,0.0
84269d1ffffffff,3.0,0.0,0.0
84269d5ffffffff,23.0,0.0,0.0
84269edffffffff,4.0,0.0,0.0
8426a2bffffffff,17.0,0.0,0.0
8426a41ffffffff,5.0,0.0,0.0
8426a81ffffffff,8.0,0.0,0.0
8426a87ffffffff,10.0,0.0,0.0
8426a8bffffffff,4.0,0.0,0.0
8426a9bffffffff,3.0,0.0,0.0
8426aa1ffffffff,10.0,0.0,0.0
8426aa5ffffffff,124.0,23.0,9.0
8426aa7ffffffff,35.0,0.0,0.0
8426aabffffffff,25.0,0.0,0.0
8426aadffffffff,30.0,0.0,0.0
8426ac5ffffffff,2.0,0.0,0.0
8426ad1ffffffff,37.0,0.0,0.0
8426adbffffffff,1.0,0.0,0.0
8426ae3ffffffff,2.0,0.0,0.0
8426ae7ffffffff,9.0,0.0,0.0
8426ae9ffffffff,2.0,0.0,0.0
8426b0bffffffff,3.0,0.0,0.0
8426c19ffffffff,9.0,0.0,0.0
8426c5bffffffff,5.0,0.0,0.0
8426c6bffffffff,2.0,0.0,0.0
8426c83ffffffff,4.0,0.0,0.0
8426c9dffffffff,2.0,0.0,0.0
8426ca3ffffffff,1.0,0.0,0.0
8426cb9ffffffff,15.0,0.0,0.0
8426d2bffffffff,5.0,0.0,0.0
8426d41ffffffff,2.0,0.0,0.0
8426d4bffffffff,1.0,0.0,0.0
8426d57ffffffff,2.0,0.0,0.0
