cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
84452a9ffffffff,2.0,0.0,0.0
84452c1ffffffff,4.0,0.0,0.0
84452c5ffffffff,44.0,0.0,0.0
84452e1ffffffff,5.0,0.0,0.0
84452e3ffffffff,4.0,0.0,0.0
84452e5ffffffff,5.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
844880dffffffff,4.0,2.0,0.0
8448825ffffffff,1.0,0.0,0.0
844882dffffffff,1.0,0.0,0.0
84488edffffffff,2.0,0.0,0.0
844891bffffffff,1.0,0.0,0.0
8448951ffffffff,1.0,0.0,0.0
8448959ffffffff,2.0,0.0,0.0
84489c1ffffffff,2.0,2.0,0.0
84489d1ffffffff,3.0,0.0,0.0
84489d3ffffffff,10.0,0.0,0.0
8448a27ffffffff,2.0,2.0,0.0
8448a29ffffffff,2.0,0.0,0.0
8448b13ffffffff,14.0,4.0,0.0
8448b15ffffffff,7.0,4.0,0.0
8448b2bffffffff,5.0,1.0,0.0
8448b33ffffffff,1.0,0.0,0.0
8448b37ffffffff,2.0,0.0,0.0
8448b39ffffffff,20.0,0.0,0.0
8448b3dffffffff,6.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0
844992bffffffff,4.0,0.0,0.0
8449961ffffffff,13.0,13.0,0.0
8449963ffffffff,3.0,0.0,0.0
8449981ffffffff,1.0,0.0,0.0
8449987ffffffff,5.0,5.0,0.0
8449a2bffffffff,2.0,0.0,2.0
8449a89ffffffff,1.0,0.0,1.0
846d159ffffffff,4.0,0.0,0.0
846d231ffffffff,1.0,0.0,0.0
846d239ffffffff,1.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d2ebffffffff,10.0,0.0,0.0
846d319ffffffff,2.0,2.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d695ffffffff,17.0,0.0,0.0
846d697ffffffff,3.0,0.0,1.0
846d69dffffffff,2.0,0.0,0.0
846d6bbffffffff,4.0,0.0,0.0
