cell_id,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus assimilis,Pyrrhomyias cinnamomeus [vieillotioides Group],Pyrrhomyias cinnamomeus cinnamomeus/pyrrhopterus
835f48fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,5.0,0.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0
836620fffffffff,4.0,2.0,0.0,0.0
8366c4fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,18.0,0.0,0.0,18.0
8366e6fffffffff,1.0,0.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0,2.0
836743fffffffff,1.0,0.0,1.0,0.0
83675afffffffff,2.0,0.0,2.0,0.0
83675efffffffff,4.0,0.0,1.0,0.0
838b22fffffffff,2.0,0.0,0.0,2.0
838b2cfffffffff,2.0,0.0,0.0,0.0
838b69fffffffff,18.0,0.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0
838f59fffffffff,1.0,0.0,0.0,1.0
838f5cfffffffff,1.0,0.0,0.0,1.0
83b270fffffffff,1.0,0.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0,0.0
83b35cfffffffff,2.0,0.0,0.0,0.0
83b35efffffffff,1.0,0.0,0.0,0.0
