cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
835f01fffffffff,2.0,0.0,0.0,0.0,0.0
835f03fffffffff,9.0,0.0,0.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0,0.0,0.0
835f2bfffffffff,31.0,0.0,0.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0,0.0,0.0
835f48fffffffff,13.0,0.0,1.0,0.0,0.0
835f4afffffffff,25.0,0.0,0.0,0.0,0.0
835f4bfffffffff,16.0,0.0,0.0,0.0,0.0
835f50fffffffff,6.0,0.0,0.0,0.0,0.0
835f68fffffffff,10.0,0.0,0.0,0.0,0.0
835f71fffffffff,6.0,0.0,0.0,0.0,0.0
835f75fffffffff,50.0,0.0,0.0,0.0,2.0
836601fffffffff,5.0,0.0,0.0,0.0,0.0
836608fffffffff,441.0,0.0,0.0,0.0,0.0
83660afffffffff,76.0,0.0,0.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0,0.0,0.0
83660cfffffffff,36.0,0.0,0.0,0.0,0.0
83660dfffffffff,28.0,0.0,0.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0,0.0,0.0
836610fffffffff,323.0,0.0,0.0,0.0,0.0
836611fffffffff,17.0,0.0,0.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0,0.0,0.0
836613fffffffff,84.0,0.0,0.0,0.0,0.0
836616fffffffff,186.0,0.0,0.0,0.0,0.0
836618fffffffff,270.0,0.0,0.0,1.0,0.0
836619fffffffff,1228.0,0.0,0.0,1.0,0.0
83661afffffffff,1.0,0.0,0.0,0.0,0.0
83661bfffffffff,629.0,0.0,0.0,16.0,0.0
83661cfffffffff,48.0,0.0,0.0,1.0,0.0
83661dfffffffff,186.0,0.0,0.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0,0.0,0.0
836620fffffffff,167.0,0.0,0.0,0.0,0.0
836621fffffffff,69.0,0.0,0.0,0.0,0.0
836622fffffffff,81.0,0.0,0.0,0.0,0.0
836629fffffffff,30.0,0.0,0.0,0.0,0.0
83662bfffffffff,35.0,0.0,0.0,0.0,0.0
83662dfffffffff,120.0,0.0,0.0,0.0,0.0
83662efffffffff,32.0,0.0,0.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0,0.0,0.0
8366c2fffffffff,7.0,0.0,0.0,0.0,0.0
8366c4fffffffff,23.0,0.0,0.0,0.0,0.0
8366c6fffffffff,508.0,0.0,0.0,10.0,0.0
8366d0fffffffff,73.0,0.0,0.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0,0.0,0.0
8366d2fffffffff,121.0,0.0,0.0,0.0,0.0
8366d3fffffffff,1288.0,21.0,0.0,0.0,0.0
8366d5fffffffff,10.0,0.0,0.0,0.0,0.0
8366dafffffffff,38.0,0.0,0.0,0.0,3.0
8366defffffffff,243.0,0.0,0.0,0.0,14.0
8366e0fffffffff,393.0,0.0,0.0,0.0,0.0
8366e2fffffffff,36.0,0.0,0.0,0.0,0.0
8366e4fffffffff,626.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2458.0,0.0,0.0,16.0,0.0
8366f0fffffffff,14.0,0.0,0.0,0.0,0.0
8366f1fffffffff,405.0,0.0,0.0,5.0,0.0
8366f3fffffffff,1.0,0.0,0.0,0.0,0.0
8366f5fffffffff,501.0,0.0,0.0,13.0,0.0
836741fffffffff,8.0,0.0,0.0,0.0,0.0
836742fffffffff,42.0,0.0,0.0,0.0,0.0
836743fffffffff,126.0,0.0,2.0,0.0,0.0
83674cfffffffff,153.0,0.0,0.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0,0.0,0.0
83674efffffffff,44.0,0.0,0.0,0.0,0.0
836751fffffffff,14.0,0.0,0.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0,0.0
83675afffffffff,28.0,0.0,0.0,0.0,0.0
83675cfffffffff,43.0,0.0,0.0,0.0,0.0
83675efffffffff,56.0,0.0,0.0,0.0,0.0
838adbfffffffff,6.0,0.0,0.0,0.0,1.0
838adefffffffff,2.0,0.0,0.0,0.0,0.0
838e64fffffffff,17.0,0.0,0.0,0.0,0.0
838e65fffffffff,8.0,0.0,0.0,0.0,0.0
838f0dfffffffff,186.0,0.0,0.0,0.0,0.0
838f28fffffffff,12.0,2.0,0.0,0.0,0.0
838f29fffffffff,68.0,0.0,0.0,0.0,0.0
838f2afffffffff,315.0,2.0,0.0,0.0,0.0
838f2bfffffffff,31.0,3.0,0.0,0.0,0.0
838f2cfffffffff,172.0,0.0,0.0,0.0,0.0
838f2efffffffff,7.0,0.0,0.0,0.0,0.0
838f40fffffffff,7.0,0.0,0.0,0.0,0.0
838f42fffffffff,7.0,0.0,0.0,0.0,0.0
838f43fffffffff,12.0,0.0,0.0,0.0,0.0
838f46fffffffff,146.0,0.0,0.0,0.0,0.0
838f70fffffffff,17.0,0.0,0.0,0.0,0.0
838f72fffffffff,70.0,0.0,0.0,0.0,6.0
838f73fffffffff,1.0,0.0,0.0,0.0,0.0
838f74fffffffff,40.0,0.0,0.0,0.0,0.0
838f76fffffffff,37.0,0.0,0.0,0.0,0.0
