cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
838106fffffffff,1.0,0.0,1.0
838a31fffffffff,2.0,0.0,0.0
838b22fffffffff,2.0,2.0,0.0
838b2efffffffff,1.0,0.0,0.0
83a946fffffffff,8.0,0.0,0.0
83a953fffffffff,2.0,0.0,0.0
83a961fffffffff,42.0,0.0,0.0
83a965fffffffff,4.0,0.0,0.0
83a971fffffffff,10.0,0.0,0.0
83b26dfffffffff,1.0,0.0,0.0
83b34dfffffffff,1.0,0.0,0.0
83c21dfffffffff,1.0,0.0,0.0
83c2c9fffffffff,3.0,0.0,0.0
83c2cbfffffffff,3.0,0.0,0.0
83c2f1fffffffff,4.0,0.0,0.0
