cell_id,Tunchiornis ochraceiceps,Tunchiornis ochraceiceps [ochraceiceps Group],Tunchiornis ochraceiceps ferrugineifrons/viridior,Tunchiornis ochraceiceps luteifrons,Tunchiornis ochraceiceps rubrifrons/lutescens
84450e3ffffffff,2.0,0.0,0.0,0.0,0.0
8445233ffffffff,4.0,0.0,0.0,0.0,0.0
8445257ffffffff,3.0,0.0,0.0,0.0,0.0
84452a5ffffffff,3.0,0.0,0.0,0.0,0.0
84452a9ffffffff,3.0,0.0,0.0,0.0,0.0
84452adffffffff,6.0,0.0,0.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0,0.0
84452e3ffffffff,1.0,1.0,0.0,0.0,0.0
84452e9ffffffff,3.0,3.0,0.0,0.0,0.0
84452ebffffffff,6.0,6.0,0.0,0.0,0.0
845f03dffffffff,1.0,0.0,0.0,1.0,0.0
845f407ffffffff,1.0,0.0,0.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0,0.0,0.0
8466113ffffffff,15.0,0.0,0.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0,0.0,0.0
84661cdffffffff,10.0,0.0,0.0,0.0,0.0
8466b0bffffffff,2.0,2.0,0.0,0.0,0.0
8466c0dffffffff,5.0,0.0,0.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0,0.0,0.0
8466dadffffffff,4.0,0.0,2.0,0.0,0.0
8466de1ffffffff,9.0,0.0,0.0,0.0,0.0
8466de3ffffffff,1.0,0.0,0.0,0.0,0.0
8466debffffffff,32.0,0.0,2.0,0.0,0.0
846792dffffffff,1.0,0.0,0.0,0.0,0.0
846d21dffffffff,5.0,0.0,0.0,0.0,0.0
846d2c1ffffffff,2.0,2.0,0.0,0.0,0.0
846d2c9ffffffff,12.0,8.0,0.0,0.0,0.0
846d2cbffffffff,2.0,2.0,0.0,0.0,0.0
846d31bffffffff,1.0,0.0,0.0,0.0,0.0
846d651ffffffff,1.0,0.0,0.0,0.0,0.0
846d697ffffffff,5.0,5.0,0.0,0.0,0.0
848af2dffffffff,2.0,0.0,0.0,2.0,0.0
848b617ffffffff,1.0,0.0,0.0,0.0,0.0
848b63bffffffff,2.0,0.0,1.0,0.0,0.0
848b9d5ffffffff,1.0,0.0,0.0,0.0,1.0
