cell_id,Euplectes macroura,Euplectes macroura macrocercus,Euplectes macroura macroura/conradsi
835282fffffffff,2.0,0.0,0.0
835291fffffffff,11.0,0.0,0.0
835293fffffffff,2.0,0.0,0.0
835298fffffffff,2.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0
83529bfffffffff,20.0,0.0,0.0
83529efffffffff,8.0,0.0,0.0
835449fffffffff,2.0,0.0,0.0
8354a9fffffffff,5.0,0.0,0.0
8354e1fffffffff,2.0,0.0,0.0
8354e2fffffffff,7.0,0.0,0.0
8354e5fffffffff,6.0,0.0,0.0
8354edfffffffff,2.0,0.0,0.0
8354f1fffffffff,9.0,0.0,0.0
8354f4fffffffff,10.0,0.0,3.0
8354f5fffffffff,6.0,0.0,0.0
835883fffffffff,2.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0
83588bfffffffff,1.0,0.0,0.0
835890fffffffff,9.0,0.0,0.0
835891fffffffff,1.0,0.0,0.0
835894fffffffff,5.0,0.0,0.0
835895fffffffff,5.0,0.0,0.0
835896fffffffff,28.0,0.0,3.0
8358a4fffffffff,7.0,0.0,0.0
8358b3fffffffff,6.0,0.0,0.0
8358b5fffffffff,6.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358d1fffffffff,2.0,0.0,0.0
8358d2fffffffff,1.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0
8358defffffffff,19.0,0.0,0.0
8358e2fffffffff,34.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0
8358f5fffffffff,1.0,0.0,0.0
8358f6fffffffff,1.0,0.0,0.0
83599afffffffff,1.0,0.0,0.0
83599efffffffff,1.0,0.0,0.0
836a10fffffffff,1.0,0.0,0.0
836a15fffffffff,1.0,0.0,0.0
836a45fffffffff,1.0,0.0,0.0
836a5afffffffff,5.0,0.0,0.0
836a61fffffffff,6.0,0.0,0.0
836ac1fffffffff,6.0,0.0,0.0
836ac3fffffffff,10.0,0.0,0.0
836ac8fffffffff,7.0,0.0,0.0
836accfffffffff,26.0,0.0,0.0
836acdfffffffff,4.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
836adcfffffffff,13.0,0.0,0.0
836addfffffffff,5.0,0.0,0.0
836ae0fffffffff,1.0,0.0,0.0
836ae1fffffffff,2.0,0.0,0.0
836ae8fffffffff,78.0,0.0,0.0
836aeafffffffff,288.0,2.0,0.0
836aebfffffffff,12.0,0.0,0.0
836aedfffffffff,1.0,0.0,0.0
836aeefffffffff,43.0,0.0,0.0
836b9afffffffff,1.0,0.0,0.0
836bb6fffffffff,1.0,0.0,0.0
837508fffffffff,2.0,0.0,0.0
83750dfffffffff,107.0,0.0,11.0
837513fffffffff,1.0,0.0,0.0
837518fffffffff,5.0,0.0,0.0
837519fffffffff,2.0,0.0,0.0
837520fffffffff,54.0,0.0,4.0
837522fffffffff,2.0,0.0,0.0
837523fffffffff,1.0,0.0,0.0
837529fffffffff,68.0,0.0,4.0
83752afffffffff,1.0,0.0,0.0
83752efffffffff,4.0,0.0,0.0
837530fffffffff,2.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837536fffffffff,1.0,0.0,0.0
837576fffffffff,45.0,0.0,3.0
837586fffffffff,1.0,0.0,0.0
8375a0fffffffff,2.0,0.0,0.0
8375a8fffffffff,1.0,0.0,0.0
837a48fffffffff,4.0,0.0,0.0
837a4cfffffffff,27.0,0.0,0.0
837a4dfffffffff,58.0,7.0,0.0
837a68fffffffff,295.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0
837a6bfffffffff,9.0,0.0,0.0
837a6dfffffffff,5.0,0.0,0.0
837acafffffffff,2.0,0.0,0.0
837acbfffffffff,7.0,0.0,0.0
838212fffffffff,8.0,0.0,0.0
838218fffffffff,4.0,0.0,0.0
83821bfffffffff,2.0,0.0,0.0
838284fffffffff,2.0,0.0,0.0
83828bfffffffff,1.0,0.0,0.0
8382a0fffffffff,3.0,0.0,0.0
8382a5fffffffff,1.0,0.0,0.0
8382a8fffffffff,14.0,0.0,0.0
8382a9fffffffff,1.0,0.0,0.0
8382d0fffffffff,3.0,0.0,0.0
8382d2fffffffff,3.0,0.0,0.0
8382d3fffffffff,4.0,0.0,0.0
8382f0fffffffff,1.0,0.0,0.0
838312fffffffff,4.0,0.0,0.0
838330fffffffff,1.0,0.0,1.0
838386fffffffff,2.0,0.0,0.0
83838afffffffff,3.0,0.0,0.0
83838efffffffff,2.0,0.0,0.0
8383a8fffffffff,2.0,0.0,0.0
8383acfffffffff,2.0,0.0,2.0
839600fffffffff,4.0,0.0,2.0
839602fffffffff,5.0,0.0,2.0
839604fffffffff,2.0,0.0,0.0
839605fffffffff,1.0,0.0,0.0
839609fffffffff,8.0,0.0,0.0
83960bfffffffff,9.0,0.0,2.0
839623fffffffff,8.0,0.0,0.0
839624fffffffff,2.0,0.0,0.0
839628fffffffff,22.0,0.0,0.0
83962afffffffff,3.0,0.0,0.0
83962bfffffffff,11.0,0.0,0.0
83962cfffffffff,43.0,0.0,8.0
83962efffffffff,9.0,0.0,2.0
839636fffffffff,3.0,0.0,0.0
839644fffffffff,1.0,0.0,0.0
839656fffffffff,7.0,0.0,3.0
839672fffffffff,1.0,0.0,0.0
83968cfffffffff,1.0,0.0,0.0
839693fffffffff,1.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0
8396a5fffffffff,6.0,0.0,0.0
8396aafffffffff,2.0,0.0,0.0
8396e4fffffffff,4.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
83970efffffffff,1.0,0.0,0.0
839719fffffffff,79.0,0.0,0.0
83971dfffffffff,4.0,0.0,0.0
839751fffffffff,3.0,0.0,1.0
839753fffffffff,9.0,0.0,6.0
83978bfffffffff,1.0,0.0,0.0
83978dfffffffff,6.0,0.0,0.0
8397aafffffffff,5.0,0.0,0.0
8397abfffffffff,3.0,0.0,0.0
