cell_id,Rhipidura semicollaris,Rhipidura semicollaris [semicollaris Group],Rhipidura semicollaris elegantula,Rhipidura semicollaris reichenowi,Rhipidura semicollaris hamadryas,Rhipidura semicollaris squamata/henrici
827297fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
82739ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
829407fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
829417fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
829427fffffffff,209.0,0.0,0.0,0.0,0.0,0.0
82942ffffffffff,213.0,0.0,0.0,0.0,0.0,0.0
829437fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
829467fffffffff,116.0,0.0,0.0,0.0,0.0,0.0
82950ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
82951ffffffffff,75.0,0.0,0.0,0.0,0.0,0.0
82954ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
829557fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
82955ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0
8295a7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8295affffffffff,126.0,0.0,0.0,0.0,0.0,0.0
